question,experiment_group,seed,repo_id,canonical_metric_path,run_manifest_present,review_summary_present,approval_status_present,run_status_values,validation_status_values,approval_status_values,companion_backbone_confirmed,metric_artifact_present,training_completion_evidence,pragmatic_f1_present,sarcasm_f1_present,implicit_f1_present,ece_present
Q2,xlmr_followup_q2_no_uncertainty_weighting,21,Thundergod2007/vipragsent-experiment-artifacts-overflow-025,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_uncertainty_weighting_20260521/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,True
Q2,xlmr_followup_q2_no_uncertainty_weighting,22,Thundergod2007/vipragsent-experiment-artifacts-overflow-017,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_uncertainty_weighting_20260522/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,True
Q2,xlmr_followup_q2_no_uncertainty_weighting,23,Thundergod2007/vipragsent-experiment-artifacts-overflow-012,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_uncertainty_weighting_20260523/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,True
Q3,xlmr_followup_q3_full_128,21,Thundergod2007/vipragsent-experiment-artifacts-overflow-017,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_128_20260521/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,False
Q3,xlmr_followup_q3_full_128,22,Thundergod2007/vipragsent-experiment-artifacts-overflow-012,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_128_20260522/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,False
Q3,xlmr_followup_q3_full_128,23,Thundergod2007/vipragsent-experiment-artifacts-overflow-018,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_128_20260523/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,False
Q3,xlmr_followup_q3_full_256,21,Thundergod2007/vipragsent-experiment-artifacts-overflow-025,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_256_20260521/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,False
Q3,xlmr_followup_q3_full_256,22,Thundergod2007/vipragsent-experiment-artifacts-overflow-017,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_256_20260522/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,False
Q3,xlmr_followup_q3_full_256,23,Thundergod2007/vipragsent-experiment-artifacts-overflow-012,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_256_20260523/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,False
Q3,xlmr_followup_q3_full_32,21,Thundergod2007/vipragsent-experiment-artifacts-overflow-018,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_32_20260521/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,False
Q3,xlmr_followup_q3_full_32,22,Thundergod2007/vipragsent-experiment-artifacts-overflow-025,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_32_20260522/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,False
Q3,xlmr_followup_q3_full_32,23,Thundergod2007/vipragsent-experiment-artifacts-overflow-017,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_32_20260523/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,False
Q3,xlmr_followup_q3_full_512,21,Thundergod2007/vipragsent-experiment-artifacts-overflow-018,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_512_20260521/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,False
Q3,xlmr_followup_q3_full_512,22,Thundergod2007/vipragsent-experiment-artifacts-overflow-025,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_512_20260522/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,False
Q3,xlmr_followup_q3_full_512,23,Thundergod2007/vipragsent-experiment-artifacts-overflow-017,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_512_20260523/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,False
Q3,xlmr_followup_q3_full_64,21,Thundergod2007/vipragsent-experiment-artifacts-overflow-012,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_64_20260521/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,False
Q3,xlmr_followup_q3_full_64,22,Thundergod2007/vipragsent-experiment-artifacts-overflow-018,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_64_20260522/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,False
Q3,xlmr_followup_q3_full_64,23,Thundergod2007/vipragsent-experiment-artifacts-overflow-025,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_64_20260523/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,False
Q3,xlmr_followup_q3_full_full,21,Thundergod2007/vipragsent-experiment-artifacts-overflow-012,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_full_20260521/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,False
Q3,xlmr_followup_q3_full_full,22,Thundergod2007/vipragsent-experiment-artifacts-overflow-018,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_full_20260522/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,False
Q3,xlmr_followup_q3_full_full,23,Thundergod2007/vipragsent-experiment-artifacts-overflow-025,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_full_20260523/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,False
Q4,xlmr_followup_q4_full,21,Thundergod2007/vipragsent-experiment-artifacts-overflow-017,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q4_full_20260521/paper_artifacts/q4_pragmatic_calibration_per_seed.json,True,True,True,"NOT_STARTED,PASS",PASS,APPROVED,True,True,PASS,False,False,False,True
Q4,xlmr_followup_q4_full,22,Thundergod2007/vipragsent-experiment-artifacts-overflow-017,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q4_full_20260522/paper_artifacts/q4_pragmatic_calibration_per_seed.json,True,True,True,"NOT_STARTED,PASS",PASS,APPROVED,True,True,PASS,False,False,False,True
Q4,xlmr_followup_q4_full,23,Thundergod2007/vipragsent-experiment-artifacts-overflow-012,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q4_full_20260523/paper_artifacts/q4_pragmatic_calibration_per_seed.json,True,True,True,"NOT_STARTED,PASS",PASS,APPROVED,True,True,PASS,False,False,False,True
