sample_id,text,implicit_sentiment,sarcasm,irony,idiom_figurative,code_switching,mocking,polarity,emotion,split,source_dataset
fresh_visobert_08183,Da sẽ trắng sáng dần và khỏe mạnh lên em nhé (ad Thúy),0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_01229,mồ tổ cha mày đăng lược chi tiết cty hổ trợ thùng number one bình đựng cặc nước đá tham chút đòi thùng number one đừg ngu tỏ nguy hiểm nha ad,1,0,0,0,0,1,negative,fear,train,SEACrowd/ViSoBERT
fresh_visobert_11308,"Thơ hay quá, bài gì vậy gđth ❤",1,1,0,0,0,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_09934,Thuoc ho uong ngay may vien duong,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_09268,"Ngô Diệu Linh thuỳ linh ,Nguyễn Thị Hồng Ngọc minh Nguyễn Thị Hồng Ngọc",0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_03741,địa điểm ăn nhậu họp cách diễn kakaa,1,0,0,0,0,1,neutral,disgust,train,SEACrowd/ViSoBERT
fresh_visobert_08979,Em đổi đôi kia nấy rắn đen được ko ak mai em qua quán nấy,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_00656,cương đặng bảo palu lưu 😂 😂,0,0,0,0,0,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_06226,"Bàn phím đẹp, chất lượng, giao hàng nhanh",1,0,0,0,0,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_11503,kênh hay mà ra video chậm nhỉ quá là buồn,0,0,1,0,1,0,neutral,sadness,train,SEACrowd/ViSoBERT
fresh_visobert_03267,buồn lắm )),0,0,0,0,0,0,negative,sadness,train,SEACrowd/ViSoBERT
fresh_visobert_07813,E sợ t gian lm giàu rồi mà tuổi tác già yếu mẹ rồi,1,0,1,0,0,0,negative,fear,train,SEACrowd/ViSoBERT
fresh_visobert_07053,Vẫn thích TNS của ngày trước hơn,0,0,0,0,0,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_02425,bùi tiến dũng nhá,0,0,0,0,0,0,neutral,sadness,train,SEACrowd/ViSoBERT
fresh_visobert_03237,jiang jiang 👉 👉 liên hệ even show chụp ảnh pr call quản lý 9 8 9 😀 😙 ❤ ❤ 👈 👈,0,0,0,0,1,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_11672,Hôm nay VN nối đá thua thái nhất hàng thủ giỏi nhất đông nam á😆,0,0,0,0,0,0,neutral,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_10144,Sắp phải jk hok rồi chán ghê😞,0,0,0,0,0,0,negative,sadness,train,SEACrowd/ViSoBERT
fresh_visobert_11720,son môi 9948869,0,0,0,0,0,0,positive,sadness,train,SEACrowd/ViSoBERT
fresh_visobert_10914,"Chắc chị sắp thất nghiệp rồi Gấu, 5 này bên công ty cho nghỉ toàn bộ luôn rồi.",0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_07408,"Chơi mà lòng tự nhủ ""game là để giải trí, để giải trí, để giải trí, để giải trí, nhưng đell phải con game loèn này, con game loèn này ứ phải để giải trí"" 🤣🤣🤣",1,1,1,0,1,1,neutral,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_04789,xịt lốp oto vs xịt lốp xe máy tiền phạt oto vs xe máy,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_06828,Kkk. Để đi sắm cái,0,0,0,0,0,0,neutral,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_10213,Flash thua theo chiến thuật làm anh tưởng đánh yếu lo vãi,1,0,1,1,0,1,negative,fear,train,SEACrowd/ViSoBERT
fresh_visobert_00822,bảo virus corona sống máu thua )),0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_11699,lần tuần :)),1,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_07919,"Ớ, rớt tym rồi💓",0,0,0,0,0,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_10818,Chúc blog của chị sẽ phát triển hơn nữa nè :,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_09325,Mới đi tè vào cái - 😕,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_01274,tùng sói tutu hoy,0,0,0,0,0,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_10810,Ad cho xin thông tin lightning show trong công viên Bạch Đằng đê,0,0,0,0,1,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_07983,Diệp Đình Huy rất thuyết phục,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_10375,"Ánh đèn vàng, làn sương mù, cỏ cây ven đường phố bên đồi",0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_11727,"Bàn thì chả ngồi mấy nhưng mà ae siêu nhân thì bày cho kín bàn , chả thấy sổ sách giấy tờ gì ở bàn 😅😅",1,0,1,1,0,0,neutral,surprise,train,SEACrowd/ViSoBERT
fresh_visobert_02463,cỗ bàn chén dc ae nhể gấu bốn mắt phạm phương cặc nga độc muỗi bọn cứt nát lá xoan,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_10163,Nhà thương - tiếng Sài Gòn xưa kêu tên bịnh viện,0,0,0,0,0,0,neutral,sadness,train,SEACrowd/ViSoBERT
fresh_visobert_06416,Hải Phòng tôi bán gà Ngon hơn ny cũ các ông. Thank ad 💓,1,0,0,0,1,1,neutral,disgust,train,SEACrowd/ViSoBERT
fresh_visobert_06778,"Ánh TuyếtThuỳ TrangPhuongg Anhh cuộc chiến của các nhà bđs tài ba, người thắng thì có tất còn người thua thì ăn l:)))))))",1,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_05505,dầu tẩy trang nhật hàng xách,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_10076,Nguyễn Thu Hà mình đợi,0,0,0,0,0,0,negative,disgust,train,SEACrowd/ViSoBERT
fresh_visobert_11657,Chó để con linh cá lóc,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_00076,Tới luôn bạn. Nhà mình ở Tân Bình đường Cộng Hoà :)),1,1,0,0,0,1,neutral,disgust,train,SEACrowd/ViSoBERT
fresh_visobert_09684,CT này chán như con zán,1,0,0,1,0,1,negative,disgust,train,SEACrowd/ViSoBERT
fresh_visobert_11358,"♨Uống HIGHLAND COFFEE Ít tốn tiền, nhiều ưu đãi",0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_09890,Mồ chôn một lũ ngủ quên,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_02255,nhập code đc huy hiệu,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_09156,Góc chụp thần thánh 💖💖💖 đẹp xứt xắt 💓💓💓,1,0,0,1,0,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_08300,"trên quả người cáo có quà tặng, mà giao hàng không có. không hài lòng chút nào .dù là quà không không dùng được cũng phải tăng như quả người cáo chứ 😡😡😡😡",1,0,1,1,0,0,neutral,anger,train,SEACrowd/ViSoBERT
fresh_visobert_05624,chẳng dân ngu dốt học luật má giao thông bố làm bậy dm,1,0,0,0,0,1,negative,anger,train,SEACrowd/ViSoBERT
fresh_visobert_02979,cà khịa sơn =)),1,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_03679,hì hi hí hì hi hí hì bồ lằng nhằg,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_04555,a di đà phật mong dịch đập tắc,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_02196,lâm đỗ hoàng thông panba,0,0,0,0,0,0,neutral,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_11785,địa chỉ ở đâu vậy b,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_04910,hiếu bến tre tụi haha đạo đức thả haha cmt,0,0,0,0,0,0,neutral,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_00378,góp vui một tí,0,0,0,0,0,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_08192,Có cảm giác thất tình r nè 😂😂,0,0,0,0,0,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_08185,Hồng Ngọc challenge làm một bộ ảnh các bé cún bên đừn đi Hònk Ngók,0,0,0,0,1,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_10672,rạp nào có rồi vậy,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_04619,hi độ tỷ tỷ,0,0,0,0,0,0,negative,sadness,train,SEACrowd/ViSoBERT
fresh_visobert_06294,thg nào nhập a tôi vậy,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_03333,má chán vãi lồng,0,0,0,1,0,0,negative,sadness,train,SEACrowd/ViSoBERT
fresh_visobert_06842,Đàn ông thực dụng vứt 😎,0,0,0,0,0,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_07977,Tết nay sếp chơi lớn thế,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_06657,Có thi với đan dám ăn híp e nè :((,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_00230,đồng nhung máy bay phalcon tỷ belike,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_10331,mình thích cún bụi đời hị hị,0,0,0,0,0,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_06745,Nguyễn Hừng Haha. Cm con Nhung rồi.,0,0,0,0,0,0,neutral,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_10139,khó bỏ lắm nerf nữa nép mãi vẫn chuến😂😂,0,0,0,0,0,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_06606,Bách lên mây = mây bách 😂😂😂,1,0,0,1,0,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_11810,Rồi có có th@i không ạ???,1,0,0,0,0,0,neutral,surprise,train,SEACrowd/ViSoBERT
fresh_visobert_06333,Hằng Thị Lê dm con lòn nào v,1,0,0,0,0,1,neutral,anger,train,SEACrowd/ViSoBERT
fresh_visobert_03735,em gái xinh ước gì chi nước da,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_04410,bọn cặc lính,0,0,0,0,0,0,negative,anger,train,SEACrowd/ViSoBERT
fresh_visobert_05057,nắng đẹp tranh thủ chụp ảnh >>,0,0,0,0,0,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_11510,"Cuối game k kẹp lux để lấy mê hoặc, đánh 5 đấu sĩ? Bảo sao vẫn ở rank kc🙄",1,0,0,0,1,1,positive,disgust,train,SEACrowd/ViSoBERT
fresh_visobert_09816,đậu phộng hahhahah may hềy,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_00592,gửi thầy )),0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_03530,gửi ml cặc nhung7 =))),1,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_06025,Xin phật gật đầu rồi mà sự k biết,1,0,1,0,0,0,neutral,surprise,train,SEACrowd/ViSoBERT
fresh_visobert_01622,nhắn chữ địt má mày chất vlon êiiiii,1,0,0,0,0,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_00748,lạc quan toàn dân ý thức,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_00869,tào hưng đm khô máu ))),1,0,0,0,0,1,negative,anger,train,SEACrowd/ViSoBERT
fresh_visobert_03609,đề văn mai a chj nêu cảm nhận phân tích hiện tg streamer phùng thanh độ độ mixi hiện dk giới trẻ yêu thích câu,0,0,0,0,1,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_11880,&Tùng Lê Thanh triệu hồi cào cào,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_07590,ơ thế giờ ở lương thế vinh không cắt nữa ạ,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_02874,giáo án hả,1,1,0,0,0,0,negative,surprise,train,SEACrowd/ViSoBERT
fresh_visobert_03126,tiền ngoan nằm im chỗ,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_09017,tổng thống Power cơ 👉👈,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_00149,chán chế cặc độ quản lý dân sinh,0,0,0,0,0,0,negative,sadness,train,SEACrowd/ViSoBERT
fresh_visobert_05559,tham tù trách trách thp thỏa thuận đền bù ruồi nhẹ,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_00621,phục vụ cộng sản lợi cặc kì vọng mong nhân miếng xương,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_01926,yêu anh em ❤,0,0,0,0,0,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_07722,68kg cao m57 994695,0,0,0,0,0,0,neutral,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_06380,quần đẹp giao nhanh chất lượng tốt <3,0,0,0,0,0,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_11834,hehe hôm nay là sinh nhật mìnhh,0,0,0,0,0,0,neutral,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_06254,Thu tuc ntn ca giay to gi,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_05765,linh oi mày vn luon nhe,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_00982,hàn quốc phiên bản việt,0,0,0,0,0,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_03602,yêu thầy dấu bé )),0,0,0,0,0,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_08879,tháng viên là quá hại,0,0,0,0,0,0,positive,sadness,train,SEACrowd/ViSoBERT
fresh_visobert_01915,phúc báo kiểu ta giàu má du lịch mấy dịch,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_01816,huế đêm trung thu má xách lồn,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_02089,tạ trần yến nhi đc,0,0,0,0,0,0,negative,other,train,SEACrowd/ViSoBERT
fresh_visobert_07157,điều ước nhỏ nhoi thoii tiền hongg bao giờ hết :,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_01434,qc cl cặc đm yến,1,0,0,0,0,1,negative,anger,train,SEACrowd/ViSoBERT
fresh_visobert_08571,Xime Guadalupe abueno 💖😻,0,0,0,0,1,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_07061,Yê mập cái lồn,0,0,0,0,0,0,negative,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_01119,minh thông 😂 😂 kiêng bú má cu ko thể bớt cười đc,0,0,0,0,0,0,neutral,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_05683,nc hồ hơi thúi,0,0,0,0,0,0,negative,sadness,train,SEACrowd/ViSoBERT
fresh_visobert_11869,Không hiểu đổi bố đánh con mà mẹ ko can ngăn để sẩy ra vụ việc này,1,0,1,0,0,1,neutral,disgust,train,SEACrowd/ViSoBERT
fresh_visobert_04367,mớ để ý kỉ mc đẹp trai cười rụng tim ❤,1,0,0,1,0,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_03039,dm ho cặc chi minh,1,0,0,0,0,1,neutral,anger,train,SEACrowd/ViSoBERT
fresh_visobert_02584,phạm văn công căng,0,0,0,0,0,0,negative,sadness,train,SEACrowd/ViSoBERT
fresh_visobert_01821,trần dần vui,0,0,0,0,0,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_07306,Danh hài hải ngoại được yêu thích nhất tại VN.,0,0,0,0,0,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_03300,thảo rùa loan đỗ khánh huyền trần thu trang team lương tết,0,0,0,0,1,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_05466,ngta lắm mặt cặc đằng tận mặt,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_06177,màu đẹp nhưng sản xuất tại trung quốc quốc nên chỉ make đăng chân để mặc váy.,0,0,1,0,0,0,positive,surprise,train,SEACrowd/ViSoBERT
fresh_visobert_08977,"hàng cực chất lượng luôn, dùng được 5 ngày thấy nó mờ thâm đi hẳn, giao hàng nhanh cực, cảm ơn cửa hàng nhiều :3",1,0,0,1,0,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_11882,"Mỗi người sinh ra là một bản thể riêng biệt. chẳng ai giống ai, nên đừng đem ra so sánh với một ai cả.",0,0,0,0,0,0,positive,sadness,train,SEACrowd/ViSoBERT
fresh_visobert_05051,trung tâm thuy nga mời diễn viên hài,1,0,0,0,0,1,neutral,disgust,train,SEACrowd/ViSoBERT
fresh_visobert_07907,"Dùng ok, mạch ngoại hình xấu hơn đợt trước",0,0,0,0,1,0,negative,sadness,train,SEACrowd/ViSoBERT
fresh_visobert_11929,Cj mít Cute quá,0,0,0,0,1,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_11324,Phí Quỳnh e hèm,0,0,0,0,0,0,positive,other,train,SEACrowd/ViSoBERT
fresh_visobert_11126,A ơi tí phổ biển giải ao làng nha a,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_10069,Con trai hưởng phúc mẹ,0,0,0,0,0,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_04602,lương chúng mày,0,0,0,0,0,0,negative,anger,train,SEACrowd/ViSoBERT
fresh_visobert_07692,Táo live bài nào cũng đỉnh ❤❤,1,0,0,1,1,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_08768,toàn 5k vs 6k điểm,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_06159,"Chuyện xưa nhất mình nhớ được là hồi khoảng tầm tuổi, mẹ đem gửi ở chỗ bà giữ trẻ, bị con chó nhà bà rượt chạy văng dép =)))",1,1,0,0,0,1,neutral,disgust,train,SEACrowd/ViSoBERT
fresh_visobert_02056,vô lý thuyết phục,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_01567,trịnh hoàng nguyên,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_03379,bút chất vd,1,0,0,0,0,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_04959,già chủ mười mấy cửa hàng bánh mì sài gòn,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_01203,nguyễn hữu đạt câu en )),0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_03186,mai koo dc lam fan cung,0,0,0,0,1,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_06767,Chị ơi. Có tác phẩm lớp học kì ko chị,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_02787,toang má x,1,0,0,1,0,0,negative,sadness,train,SEACrowd/ViSoBERT
fresh_visobert_10684,Ngay đoạn nhà mình 🤧 cảm ơn bác nhiều nhé,0,0,0,0,0,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_04167,nx ngon )),0,0,0,0,0,0,negative,sadness,train,SEACrowd/ViSoBERT
fresh_visobert_06932,"Dịch từ riot : tụi t sẽ làm chủ đề tiếp theo là về rồng. Nhưng trong bản .9 tụi teo sẽ cho ra cái trứng xịn vcl nở sớm (búa rèn🐧). Tụi bây sẽ bắt đầu với cái trứng và nở cùng lúc, phần thưởng là như nhau",1,1,1,1,0,1,neutral,anger,train,SEACrowd/ViSoBERT
fresh_visobert_09474,"Ơ lần đầu à? Lần đầu thì xác định đi nhé, nó không thơm ngon như mọi người kể đâu =))) chỉ có sau quen thì mới như vậy được thôi.",1,1,0,1,0,1,positive,disgust,train,SEACrowd/ViSoBERT
fresh_visobert_11476,Cảm ơn shop!,0,0,0,0,1,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_10374,"Thương ghê, nhìn na ná con gái tui. Mong con gái cũng làm được sự nghiệp lừng lẫy như anh chị nó",0,0,0,1,0,0,negative,disgust,train,SEACrowd/ViSoBERT
fresh_visobert_02970,trông cặc điên hãm,1,0,0,0,0,1,neutral,disgust,train,SEACrowd/ViSoBERT
fresh_visobert_02466,tranh biếm họa,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_01478,xã hội má bồng bềnh,0,0,0,0,0,0,negative,sadness,train,SEACrowd/ViSoBERT
fresh_visobert_05438,dung la linh dien dien vua thoi chang nt goi cặc de choc my dien thoi ng nhu linh dien thi them,0,0,0,0,1,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_07958,Cao Vân vui hông. Về báo c Thảo ngay =)))),1,0,0,0,0,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_08446,"Khác giới thì dell bao giờ tồn tại khái niệm bạn thân. Tông môn, trước nyc thứ 5 của t cũng thế. Hoãn đi chơi noel với t để đi với thằng bạn thân của em ý. Chúng nó đi chơi đến h đêm mới mo về, t đứng đợi ở đường lạnh lẽo vl. Chúng nó cãi bay bay là k làm gì cả. Bố tổ",0,0,0,1,0,1,neutral,surprise,train,SEACrowd/ViSoBERT
fresh_visobert_02854,khỏe mạnh tui an tâm,0,0,0,0,0,0,positive,sadness,train,SEACrowd/ViSoBERT
fresh_visobert_06931,Chào chị bảo my xinh gái,0,0,0,0,1,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_07128,Cả sân khấu cùng chill ^^,1,0,0,0,1,0,neutral,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_02721,dương má hiếu dcm,0,0,0,0,0,0,negative,sadness,train,SEACrowd/ViSoBERT
fresh_visobert_01358,loài sinh vật cặc lạ dư luận viên,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_04441,đình quang chồng tương lai xấu,0,0,0,0,0,0,negative,sadness,train,SEACrowd/ViSoBERT
fresh_visobert_09184,trời trở đông rồi nên giữ gìn sức khỏe nha ❤,0,0,0,0,0,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_05363,định ce trend ☺ ☺ 🤣,0,0,0,0,1,0,neutral,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_04101,bi béo ú công nhận ha,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_11536,nuôi kiểu gì mà để bé vậy đây :((((,1,0,1,0,0,0,neutral,surprise,train,SEACrowd/ViSoBERT
fresh_visobert_11031,"Dù sao đi chăng nữa, thì cái ác phải bị lên án..cho dù có bị chìm xuồng vẫn vui. .. vì chí ít cũng còn một chút nhân tính.. . trong xã hội dã nhân... Kkk..",1,0,0,0,0,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_02138,sống chậm thui ae,0,0,0,0,1,0,neutral,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_09237,Hổ vồ gặp bén sư tử 🦁,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_06501,Ơ sao kc lại gặp thằg bk IV vị bn ưi,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_01260,vãi ruột tao văn 🤣 😂 🤣 😂 🤣 😂,1,1,0,1,0,1,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_08611,Lan Ngô ủa Lan Ngơ cũng cần xin ak kk,1,1,0,0,0,0,neutral,surprise,train,SEACrowd/ViSoBERT
fresh_visobert_08163,Chi hiếu chị đất nhiều quá cho em xinh một cái nên nhà đi chị em nghèo lắm chị ơi,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_08268,Chị cx mua ah,0,0,0,0,1,0,positive,other,train,SEACrowd/ViSoBERT
fresh_visobert_07303,Tui đang xem cái j đây,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_04119,khùng cặc buồn nôn,1,0,0,0,0,1,negative,sadness,train,SEACrowd/ViSoBERT
fresh_visobert_00681,đéo m vàng noc đéo láo phét o ke t m ti dân trung quc chôn sng n bây gi đây đéo m dân nail cặc sõ lá lo la mng sng mãn đi nhung la đéo dân chó đéo sng ga to thì có,0,0,0,0,0,0,negative,anger,train,SEACrowd/ViSoBERT
fresh_visobert_00247,goodnow tran lo tiết diên mày mắc bệnh tui cam đoan dị,0,0,0,0,0,0,negative,fear,train,SEACrowd/ViSoBERT
