sample_id,is_sarcasm_positive,positive_selected_for_budget,sarcasm_target_mask,rationale_loss_mask
fresh_visobert_03735,0,0,1,1
fresh_visobert_04410,0,0,1,1
fresh_visobert_05057,0,0,1,1
fresh_visobert_11510,0,0,1,1
fresh_visobert_09816,0,0,1,1
fresh_visobert_00592,0,0,1,1
fresh_visobert_03530,0,0,1,1
fresh_visobert_06025,0,0,1,1
fresh_visobert_01622,0,0,1,1
fresh_visobert_00748,0,0,1,1
fresh_visobert_00869,0,0,1,1
fresh_visobert_03609,0,0,1,1
fresh_visobert_11880,0,0,1,1
fresh_visobert_07590,0,0,1,1
fresh_visobert_02874,1,0,0,0
fresh_visobert_03126,0,0,1,1
fresh_visobert_09017,0,0,1,1
fresh_visobert_00149,0,0,1,1
fresh_visobert_05559,0,0,1,1
fresh_visobert_00621,0,0,1,1
fresh_visobert_01926,0,0,1,1
fresh_visobert_07722,0,0,1,1
fresh_visobert_06380,0,0,1,1
fresh_visobert_11834,0,0,1,1
fresh_visobert_06254,0,0,1,1
fresh_visobert_05765,0,0,1,1
fresh_visobert_00982,0,0,1,1
fresh_visobert_03602,0,0,1,1
fresh_visobert_08879,0,0,1,1
fresh_visobert_01915,0,0,1,1
fresh_visobert_01816,0,0,1,1
fresh_visobert_02089,0,0,1,1
fresh_visobert_07157,0,0,1,1
fresh_visobert_01434,0,0,1,1
fresh_visobert_08571,0,0,1,1
fresh_visobert_07061,0,0,1,1
fresh_visobert_01119,0,0,1,1
fresh_visobert_05683,0,0,1,1
fresh_visobert_11869,0,0,1,1
fresh_visobert_04367,0,0,1,1
fresh_visobert_03039,0,0,1,1
fresh_visobert_02584,0,0,1,1
fresh_visobert_01821,0,0,1,1
fresh_visobert_07306,0,0,1,1
fresh_visobert_03300,0,0,1,1
fresh_visobert_05466,0,0,1,1
fresh_visobert_06177,0,0,1,1
fresh_visobert_08977,0,0,1,1
fresh_visobert_11882,0,0,1,1
fresh_visobert_05051,0,0,1,1
fresh_visobert_07907,0,0,1,1
fresh_visobert_11929,0,0,1,1
fresh_visobert_11324,0,0,1,1
fresh_visobert_11126,0,0,1,1
fresh_visobert_10069,0,0,1,1
fresh_visobert_04602,0,0,1,1
fresh_visobert_07692,0,0,1,1
fresh_visobert_08768,0,0,1,1
fresh_visobert_06159,1,1,1,1
fresh_visobert_02056,0,0,1,1
fresh_visobert_01567,0,0,1,1
fresh_visobert_03379,0,0,1,1
fresh_visobert_04959,0,0,1,1
fresh_visobert_01203,0,0,1,1
fresh_visobert_03186,0,0,1,1
fresh_visobert_06767,0,0,1,1
fresh_visobert_02787,0,0,1,1
fresh_visobert_10684,0,0,1,1
fresh_visobert_04167,0,0,1,1
fresh_visobert_06932,1,1,1,1
fresh_visobert_09474,1,0,0,0
fresh_visobert_11476,0,0,1,1
fresh_visobert_10374,0,0,1,1
fresh_visobert_02970,0,0,1,1
fresh_visobert_02466,0,0,1,1
fresh_visobert_01478,0,0,1,1
fresh_visobert_05438,0,0,1,1
fresh_visobert_07958,0,0,1,1
fresh_visobert_08446,0,0,1,1
fresh_visobert_02854,0,0,1,1
fresh_visobert_06931,0,0,1,1
fresh_visobert_07128,0,0,1,1
fresh_visobert_02721,0,0,1,1
fresh_visobert_01358,0,0,1,1
fresh_visobert_04441,0,0,1,1
fresh_visobert_09184,0,0,1,1
fresh_visobert_05363,0,0,1,1
fresh_visobert_04101,0,0,1,1
fresh_visobert_11536,0,0,1,1
fresh_visobert_11031,0,0,1,1
fresh_visobert_02138,0,0,1,1
fresh_visobert_09237,0,0,1,1
fresh_visobert_06501,0,0,1,1
fresh_visobert_01260,1,0,0,0
fresh_visobert_08611,1,0,0,0
fresh_visobert_08163,0,0,1,1
fresh_visobert_08268,0,0,1,1
fresh_visobert_07303,0,0,1,1
fresh_visobert_04119,0,0,1,1
fresh_visobert_00681,0,0,1,1
fresh_visobert_00247,0,0,1,1
fresh_visobert_07749,0,0,1,1
fresh_visobert_05920,0,0,1,1
fresh_visobert_04064,0,0,1,1
fresh_visobert_11826,0,0,1,1
fresh_visobert_09955,1,0,0,0
fresh_visobert_03531,0,0,1,1
fresh_visobert_05131,0,0,1,1
fresh_visobert_09301,0,0,1,1
fresh_visobert_03521,0,0,1,1
fresh_visobert_09976,0,0,1,1
fresh_visobert_06890,0,0,1,1
fresh_visobert_08897,0,0,1,1
fresh_visobert_09138,0,0,1,1
fresh_visobert_00578,0,0,1,1
fresh_visobert_11415,1,0,0,0
fresh_visobert_01856,0,0,1,1
fresh_visobert_04220,0,0,1,1
fresh_visobert_04202,0,0,1,1
fresh_visobert_01971,0,0,1,1
fresh_visobert_05411,0,0,1,1
fresh_visobert_02574,0,0,1,1
fresh_visobert_04462,0,0,1,1
fresh_visobert_01627,0,0,1,1
fresh_visobert_01491,0,0,1,1
fresh_visobert_01446,0,0,1,1
fresh_visobert_00718,0,0,1,1
fresh_visobert_10706,1,1,1,1
fresh_visobert_09567,0,0,1,1
fresh_visobert_07115,0,0,1,1
fresh_visobert_01401,0,0,1,1
fresh_visobert_07499,0,0,1,1
fresh_visobert_09603,0,0,1,1
fresh_visobert_00759,0,0,1,1
fresh_visobert_03746,0,0,1,1
fresh_visobert_09653,0,0,1,1
fresh_visobert_03400,0,0,1,1
fresh_visobert_00445,0,0,1,1
fresh_visobert_08984,0,0,1,1
fresh_visobert_01151,0,0,1,1
fresh_visobert_10834,0,0,1,1
fresh_visobert_01266,0,0,1,1
fresh_visobert_00946,0,0,1,1
fresh_visobert_02928,0,0,1,1
fresh_visobert_02014,0,0,1,1
fresh_visobert_11665,0,0,1,1
fresh_visobert_11697,0,0,1,1
fresh_visobert_01256,0,0,1,1
fresh_visobert_05468,0,0,1,1
fresh_visobert_06571,0,0,1,1
fresh_visobert_09947,0,0,1,1
fresh_visobert_06237,1,1,1,1
fresh_visobert_10748,0,0,1,1
fresh_visobert_09083,0,0,1,1
fresh_visobert_11043,0,0,1,1
fresh_visobert_10269,0,0,1,1
fresh_visobert_11356,0,0,1,1
fresh_visobert_07732,0,0,1,1
fresh_visobert_10948,0,0,1,1
fresh_visobert_06301,0,0,1,1
fresh_visobert_10244,0,0,1,1
fresh_visobert_02484,0,0,1,1
fresh_visobert_10220,0,0,1,1
fresh_visobert_11521,1,1,1,1
fresh_visobert_09283,0,0,1,1
fresh_visobert_04504,0,0,1,1
fresh_visobert_02174,0,0,1,1
fresh_visobert_02064,0,0,1,1
fresh_visobert_11549,0,0,1,1
fresh_visobert_06726,0,0,1,1
fresh_visobert_11303,0,0,1,1
fresh_visobert_09952,0,0,1,1
fresh_visobert_08276,0,0,1,1
fresh_visobert_02807,0,0,1,1
fresh_visobert_10388,0,0,1,1
fresh_visobert_03371,0,0,1,1
fresh_visobert_07568,0,0,1,1
fresh_visobert_01592,0,0,1,1
fresh_visobert_06977,0,0,1,1
fresh_visobert_00752,0,0,1,1
fresh_visobert_10300,0,0,1,1
fresh_visobert_09491,1,1,1,1
fresh_visobert_02234,0,0,1,1
fresh_visobert_06935,0,0,1,1
fresh_visobert_02205,0,0,1,1
fresh_visobert_04549,0,0,1,1
fresh_visobert_09446,0,0,1,1
fresh_visobert_03777,0,0,1,1
fresh_visobert_09986,0,0,1,1
fresh_visobert_01211,0,0,1,1
fresh_visobert_07872,0,0,1,1
fresh_visobert_03831,0,0,1,1
fresh_visobert_06386,0,0,1,1
fresh_visobert_07673,0,0,1,1
fresh_visobert_11977,0,0,1,1
fresh_visobert_06683,0,0,1,1
fresh_visobert_05113,0,0,1,1
fresh_visobert_08974,0,0,1,1
fresh_visobert_06896,0,0,1,1
fresh_visobert_02661,0,0,1,1
fresh_visobert_05502,0,0,1,1
fresh_visobert_06937,0,0,1,1
fresh_visobert_03966,0,0,1,1
fresh_visobert_02492,0,0,1,1
fresh_visobert_08489,0,0,1,1
fresh_visobert_05288,1,0,0,0
fresh_visobert_09672,0,0,1,1
fresh_visobert_03182,0,0,1,1
fresh_visobert_05755,0,0,1,1
fresh_visobert_02067,0,0,1,1
fresh_visobert_08326,0,0,1,1
fresh_visobert_09865,0,0,1,1
fresh_visobert_04627,0,0,1,1
fresh_visobert_06716,1,0,0,0
fresh_visobert_11184,0,0,1,1
fresh_visobert_06522,0,0,1,1
fresh_visobert_06344,0,0,1,1
fresh_visobert_08999,0,0,1,1
fresh_visobert_08673,0,0,1,1
fresh_visobert_07736,1,0,0,0
fresh_visobert_08943,0,0,1,1
fresh_visobert_06116,0,0,1,1
fresh_visobert_07355,0,0,1,1
fresh_visobert_02198,0,0,1,1
fresh_visobert_05513,0,0,1,1
fresh_visobert_11708,0,0,1,1
fresh_visobert_08450,0,0,1,1
fresh_visobert_01471,0,0,1,1
fresh_visobert_11403,0,0,1,1
fresh_visobert_09339,0,0,1,1
fresh_visobert_03491,0,0,1,1
fresh_visobert_08356,0,0,1,1
fresh_visobert_05865,0,0,1,1
fresh_visobert_00128,0,0,1,1
fresh_visobert_10355,0,0,1,1
fresh_visobert_11153,0,0,1,1
fresh_visobert_08104,0,0,1,1
fresh_visobert_05111,0,0,1,1
fresh_visobert_04795,1,0,0,0
fresh_visobert_03940,0,0,1,1
fresh_visobert_08378,1,0,0,0
fresh_visobert_01422,0,0,1,1
fresh_visobert_04470,0,0,1,1
fresh_visobert_06019,1,0,0,0
fresh_visobert_08991,0,0,1,1
fresh_visobert_11155,0,0,1,1
fresh_visobert_03953,0,0,1,1
fresh_visobert_07055,0,0,1,1
fresh_visobert_08951,0,0,1,1
fresh_visobert_05562,0,0,1,1
fresh_visobert_07016,0,0,1,1
fresh_visobert_03789,1,0,0,0
fresh_visobert_01863,0,0,1,1
fresh_visobert_01033,0,0,1,1
fresh_visobert_06272,0,0,1,1
fresh_visobert_01916,0,0,1,1
fresh_visobert_07508,0,0,1,1
fresh_visobert_00618,0,0,1,1
fresh_visobert_10229,0,0,1,1
fresh_visobert_11952,0,0,1,1
fresh_visobert_03025,0,0,1,1
fresh_visobert_09187,0,0,1,1
fresh_visobert_05658,0,0,1,1
fresh_visobert_02784,0,0,1,1
fresh_visobert_04395,0,0,1,1
fresh_visobert_08678,1,0,0,0
fresh_visobert_02451,0,0,1,1
fresh_visobert_02612,0,0,1,1
fresh_visobert_01584,0,0,1,1
fresh_visobert_10398,0,0,1,1
fresh_visobert_07389,0,0,1,1
fresh_visobert_07059,0,0,1,1
fresh_visobert_08006,0,0,1,1
fresh_visobert_06732,1,0,0,0
fresh_visobert_11932,0,0,1,1
fresh_visobert_00842,0,0,1,1
fresh_visobert_09898,0,0,1,1
fresh_visobert_09834,0,0,1,1
fresh_visobert_11048,0,0,1,1
fresh_visobert_07955,0,0,1,1
fresh_visobert_09735,1,0,0,0
fresh_visobert_01304,0,0,1,1
fresh_visobert_02653,0,0,1,1
fresh_visobert_05198,0,0,1,1
fresh_visobert_10856,0,0,1,1
fresh_visobert_06406,0,0,1,1
fresh_visobert_00645,0,0,1,1
fresh_visobert_02580,0,0,1,1
fresh_visobert_10243,0,0,1,1
fresh_visobert_03916,0,0,1,1
fresh_visobert_07426,0,0,1,1
fresh_visobert_02776,0,0,1,1
fresh_visobert_04291,0,0,1,1
fresh_visobert_06426,1,1,1,1
fresh_visobert_04292,0,0,1,1
fresh_visobert_06374,1,1,1,1
fresh_visobert_07802,0,0,1,1
fresh_visobert_03835,0,0,1,1
fresh_visobert_02352,0,0,1,1
fresh_visobert_07599,0,0,1,1
fresh_visobert_03578,0,0,1,1
fresh_visobert_03950,0,0,1,1
fresh_visobert_01614,0,0,1,1
fresh_visobert_10888,0,0,1,1
fresh_visobert_00849,0,0,1,1
fresh_visobert_01298,0,0,1,1
fresh_visobert_01185,0,0,1,1
fresh_visobert_03669,0,0,1,1
fresh_visobert_04763,0,0,1,1
fresh_visobert_01681,0,0,1,1
fresh_visobert_03245,0,0,1,1
fresh_visobert_08959,0,0,1,1
fresh_visobert_02280,0,0,1,1
fresh_visobert_11119,0,0,1,1
fresh_visobert_00900,0,0,1,1
fresh_visobert_03487,0,0,1,1
fresh_visobert_11336,0,0,1,1
fresh_visobert_08635,0,0,1,1
fresh_visobert_03988,0,0,1,1
fresh_visobert_07887,0,0,1,1
fresh_visobert_06180,0,0,1,1
fresh_visobert_08963,0,0,1,1
fresh_visobert_08198,0,0,1,1
fresh_visobert_06860,0,0,1,1
fresh_visobert_01718,0,0,1,1
fresh_visobert_03528,0,0,1,1
fresh_visobert_10636,0,0,1,1
fresh_visobert_10746,0,0,1,1
fresh_visobert_11967,0,0,1,1
fresh_visobert_08144,0,0,1,1
fresh_visobert_06277,0,0,1,1
fresh_visobert_02228,0,0,1,1
fresh_visobert_07522,0,0,1,1
fresh_visobert_05509,0,0,1,1
fresh_visobert_00778,0,0,1,1
fresh_visobert_04894,0,0,1,1
fresh_visobert_03057,0,0,1,1
fresh_visobert_01858,0,0,1,1
fresh_visobert_11426,0,0,1,1
fresh_visobert_10084,0,0,1,1
fresh_visobert_03168,0,0,1,1
fresh_visobert_02860,0,0,1,1
fresh_visobert_09009,0,0,1,1
fresh_visobert_03651,0,0,1,1
fresh_visobert_09500,0,0,1,1
fresh_visobert_05461,0,0,1,1
fresh_visobert_10655,0,0,1,1
fresh_visobert_09862,0,0,1,1
fresh_visobert_02862,0,0,1,1
fresh_visobert_07242,0,0,1,1
fresh_visobert_09099,0,0,1,1
fresh_visobert_02340,0,0,1,1
fresh_visobert_04133,0,0,1,1
fresh_visobert_10148,0,0,1,1
fresh_visobert_07341,0,0,1,1
fresh_visobert_04663,0,0,1,1
fresh_visobert_00283,0,0,1,1
fresh_visobert_05494,0,0,1,1
fresh_visobert_09823,0,0,1,1
fresh_visobert_07559,0,0,1,1
fresh_visobert_07957,0,0,1,1
fresh_visobert_04600,0,0,1,1
fresh_visobert_08821,0,0,1,1
fresh_visobert_08332,0,0,1,1
fresh_visobert_08174,0,0,1,1
fresh_visobert_02503,0,0,1,1
fresh_visobert_09155,0,0,1,1
fresh_visobert_01255,0,0,1,1
fresh_visobert_11268,0,0,1,1
fresh_visobert_10174,0,0,1,1
fresh_visobert_06856,0,0,1,1
fresh_visobert_09146,0,0,1,1
fresh_visobert_04460,0,0,1,1
fresh_visobert_08760,0,0,1,1
fresh_visobert_10447,0,0,1,1
fresh_visobert_05006,0,0,1,1
fresh_visobert_08308,0,0,1,1
fresh_visobert_04433,0,0,1,1
fresh_visobert_01153,0,0,1,1
fresh_visobert_08148,1,0,0,0
fresh_visobert_02054,0,0,1,1
fresh_visobert_07834,0,0,1,1
fresh_visobert_07571,0,0,1,1
fresh_visobert_01386,0,0,1,1
fresh_visobert_11552,0,0,1,1
fresh_visobert_00153,0,0,1,1
fresh_visobert_07671,0,0,1,1
fresh_visobert_03500,0,0,1,1
fresh_visobert_02434,0,0,1,1
fresh_visobert_10796,0,0,1,1
fresh_visobert_00893,0,0,1,1
fresh_visobert_05491,0,0,1,1
fresh_visobert_11104,0,0,1,1
fresh_visobert_03659,0,0,1,1
fresh_visobert_05152,0,0,1,1
fresh_visobert_06507,0,0,1,1
fresh_visobert_06923,0,0,1,1
fresh_visobert_00542,0,0,1,1
fresh_visobert_09124,1,0,0,0
fresh_visobert_00693,0,0,1,1
fresh_visobert_04183,0,0,1,1
fresh_visobert_07550,0,0,1,1
fresh_visobert_05450,0,0,1,1
fresh_visobert_00348,0,0,1,1
fresh_visobert_05996,0,0,1,1
fresh_visobert_04946,0,0,1,1
fresh_visobert_10552,0,0,1,1
fresh_visobert_01680,0,0,1,1
fresh_visobert_03354,0,0,1,1
fresh_visobert_06056,0,0,1,1
fresh_visobert_07214,1,1,1,1
fresh_visobert_06151,0,0,1,1
fresh_visobert_05676,0,0,1,1
fresh_visobert_10648,0,0,1,1
fresh_visobert_02347,0,0,1,1
fresh_visobert_09513,0,0,1,1
fresh_visobert_10270,0,0,1,1
fresh_visobert_02290,0,0,1,1
fresh_visobert_06037,0,0,1,1
fresh_visobert_00926,0,0,1,1
fresh_visobert_02515,0,0,1,1
fresh_visobert_03932,0,0,1,1
fresh_visobert_10260,0,0,1,1
fresh_visobert_05481,0,0,1,1
fresh_visobert_04044,0,0,1,1
fresh_visobert_07580,0,0,1,1
fresh_visobert_00935,0,0,1,1
fresh_visobert_08669,0,0,1,1
fresh_visobert_01026,0,0,1,1
fresh_visobert_00239,0,0,1,1
fresh_visobert_02060,0,0,1,1
fresh_visobert_04087,1,0,0,0
fresh_visobert_11895,0,0,1,1
fresh_visobert_09751,0,0,1,1
fresh_visobert_05979,0,0,1,1
fresh_visobert_00324,0,0,1,1
fresh_visobert_02978,0,0,1,1
fresh_visobert_01598,1,0,0,0
fresh_visobert_00152,0,0,1,1
fresh_visobert_03636,0,0,1,1
fresh_visobert_02450,0,0,1,1
fresh_visobert_00945,0,0,1,1
fresh_visobert_05035,0,0,1,1
fresh_visobert_03686,0,0,1,1
fresh_visobert_09368,0,0,1,1
fresh_visobert_11340,0,0,1,1
fresh_visobert_02185,0,0,1,1
fresh_visobert_05031,0,0,1,1
fresh_visobert_08189,0,0,1,1
fresh_visobert_08462,0,0,1,1
fresh_visobert_06011,0,0,1,1
fresh_visobert_10785,1,0,0,0
fresh_visobert_03060,0,0,1,1
fresh_visobert_09479,0,0,1,1
fresh_visobert_10639,0,0,1,1
fresh_visobert_04543,0,0,1,1
fresh_visobert_05112,0,0,1,1
fresh_visobert_10191,1,0,0,0
fresh_visobert_09069,0,0,1,1
fresh_visobert_01212,0,0,1,1
fresh_visobert_11658,0,0,1,1
fresh_visobert_03469,0,0,1,1
fresh_visobert_06346,0,0,1,1
fresh_visobert_08687,0,0,1,1
fresh_visobert_05355,0,0,1,1
fresh_visobert_08895,0,0,1,1
fresh_visobert_00457,0,0,1,1
fresh_visobert_09403,0,0,1,1
fresh_visobert_10031,0,0,1,1
fresh_visobert_04968,0,0,1,1
fresh_visobert_02939,0,0,1,1
fresh_visobert_07439,0,0,1,1
fresh_visobert_05930,0,0,1,1
fresh_visobert_07932,1,0,0,0
fresh_visobert_08063,0,0,1,1
fresh_visobert_01800,0,0,1,1
fresh_visobert_05767,0,0,1,1
fresh_visobert_10281,0,0,1,1
fresh_visobert_04904,0,0,1,1
fresh_visobert_09053,0,0,1,1
fresh_visobert_01612,0,0,1,1
fresh_visobert_01443,0,0,1,1
fresh_visobert_09501,0,0,1,1
fresh_visobert_02805,0,0,1,1
fresh_visobert_08789,1,1,1,1
fresh_visobert_03206,0,0,1,1
fresh_visobert_04260,0,0,1,1
fresh_visobert_03565,0,0,1,1
fresh_visobert_06295,0,0,1,1
fresh_visobert_04267,0,0,1,1
fresh_visobert_07653,0,0,1,1
fresh_visobert_05120,0,0,1,1
fresh_visobert_07149,0,0,1,1
fresh_visobert_05907,0,0,1,1
fresh_visobert_05649,0,0,1,1
fresh_visobert_08427,1,1,1,1
fresh_visobert_05703,0,0,1,1
fresh_visobert_02824,0,0,1,1
fresh_visobert_00967,0,0,1,1
fresh_visobert_09220,0,0,1,1
fresh_visobert_03485,0,0,1,1
fresh_visobert_06404,0,0,1,1
fresh_visobert_02483,0,0,1,1
fresh_visobert_02931,0,0,1,1
fresh_visobert_06494,0,0,1,1
fresh_visobert_09896,0,0,1,1
fresh_visobert_01122,0,0,1,1
fresh_visobert_08058,0,0,1,1
fresh_visobert_10251,0,0,1,1
fresh_visobert_09559,0,0,1,1
fresh_visobert_05322,0,0,1,1
fresh_visobert_07689,0,0,1,1
fresh_visobert_00932,0,0,1,1
fresh_visobert_09348,0,0,1,1
fresh_visobert_04195,0,0,1,1
fresh_visobert_06602,0,0,1,1
fresh_visobert_04503,0,0,1,1
fresh_visobert_09035,0,0,1,1
fresh_visobert_10019,0,0,1,1
fresh_visobert_07474,0,0,1,1
fresh_visobert_11007,0,0,1,1
fresh_visobert_05225,0,0,1,1
fresh_visobert_08367,0,0,1,1
fresh_visobert_05958,0,0,1,1
fresh_visobert_01126,0,0,1,1
fresh_visobert_04750,0,0,1,1
fresh_visobert_09266,0,0,1,1
fresh_visobert_10190,0,0,1,1
fresh_visobert_01507,0,0,1,1
fresh_visobert_06741,0,0,1,1
fresh_visobert_08684,0,0,1,1
fresh_visobert_08023,0,0,1,1
fresh_visobert_02741,0,0,1,1
fresh_visobert_06493,0,0,1,1
fresh_visobert_02448,0,0,1,1
fresh_visobert_07095,0,0,1,1
fresh_visobert_04586,0,0,1,1
fresh_visobert_05723,0,0,1,1
fresh_visobert_01384,0,0,1,1
fresh_visobert_02286,0,0,1,1
fresh_visobert_04768,0,0,1,1
fresh_visobert_10122,0,0,1,1
fresh_visobert_06317,0,0,1,1
fresh_visobert_11629,0,0,1,1
fresh_visobert_04845,0,0,1,1
fresh_visobert_07210,0,0,1,1
fresh_visobert_01653,0,0,1,1
fresh_visobert_06654,1,1,1,1
fresh_visobert_09597,0,0,1,1
fresh_visobert_06920,0,0,1,1
fresh_visobert_10634,0,0,1,1
fresh_visobert_00955,0,0,1,1
fresh_visobert_09258,0,0,1,1
fresh_visobert_08321,0,0,1,1
fresh_visobert_05244,0,0,1,1
fresh_visobert_09216,0,0,1,1
fresh_visobert_06093,0,0,1,1
fresh_visobert_09424,0,0,1,1
fresh_visobert_00289,0,0,1,1
fresh_visobert_01522,0,0,1,1
fresh_visobert_04902,0,0,1,1
fresh_visobert_05243,0,0,1,1
fresh_visobert_07618,1,0,0,0
fresh_visobert_11538,0,0,1,1
fresh_visobert_08886,1,1,1,1
fresh_visobert_06550,0,0,1,1
fresh_visobert_11118,0,0,1,1
fresh_visobert_08848,1,0,0,0
fresh_visobert_11074,0,0,1,1
fresh_visobert_07285,0,0,1,1
fresh_visobert_01589,1,1,1,1
fresh_visobert_01888,0,0,1,1
fresh_visobert_11726,1,0,0,0
fresh_visobert_08054,0,0,1,1
fresh_visobert_00865,0,0,1,1
fresh_visobert_07354,0,0,1,1
fresh_visobert_02200,0,0,1,1
fresh_visobert_07218,0,0,1,1
fresh_visobert_05379,0,0,1,1
fresh_visobert_07903,0,0,1,1
fresh_visobert_07767,0,0,1,1
fresh_visobert_00075,0,0,1,1
fresh_visobert_03298,0,0,1,1
fresh_visobert_00473,0,0,1,1
fresh_visobert_05040,0,0,1,1
fresh_visobert_03123,0,0,1,1
fresh_visobert_02248,0,0,1,1
fresh_visobert_00918,0,0,1,1
fresh_visobert_00116,0,0,1,1
fresh_visobert_00832,0,0,1,1
fresh_visobert_02106,1,0,0,0
fresh_visobert_10483,0,0,1,1
fresh_visobert_02849,0,0,1,1
fresh_visobert_01610,0,0,1,1
fresh_visobert_05796,0,0,1,1
fresh_visobert_03532,0,0,1,1
fresh_visobert_04556,0,0,1,1
fresh_visobert_05801,0,0,1,1
fresh_visobert_11923,0,0,1,1
fresh_visobert_04153,0,0,1,1
fresh_visobert_02203,0,0,1,1
fresh_visobert_08207,0,0,1,1
fresh_visobert_10905,0,0,1,1
fresh_visobert_03253,0,0,1,1
fresh_visobert_07455,0,0,1,1
fresh_visobert_02422,0,0,1,1
fresh_visobert_06038,0,0,1,1
fresh_visobert_03934,0,0,1,1
fresh_visobert_10760,1,1,1,1
fresh_visobert_04163,0,0,1,1
fresh_visobert_05195,0,0,1,1
fresh_visobert_09402,0,0,1,1
fresh_visobert_08212,0,0,1,1
fresh_visobert_04687,0,0,1,1
fresh_visobert_11983,1,1,1,1
fresh_visobert_02964,0,0,1,1
fresh_visobert_04980,0,0,1,1
fresh_visobert_00602,0,0,1,1
fresh_visobert_02478,0,0,1,1
fresh_visobert_09656,0,0,1,1
fresh_visobert_07050,0,0,1,1
fresh_visobert_06804,0,0,1,1
fresh_visobert_03067,0,0,1,1
fresh_visobert_08553,0,0,1,1
fresh_visobert_07409,0,0,1,1
fresh_visobert_03929,0,0,1,1
fresh_visobert_00427,0,0,1,1
fresh_visobert_02760,0,0,1,1
fresh_visobert_01603,0,0,1,1
fresh_visobert_10162,0,0,1,1
fresh_visobert_02812,0,0,1,1
fresh_visobert_05335,0,0,1,1
fresh_visobert_02122,0,0,1,1
fresh_visobert_10609,0,0,1,1
fresh_visobert_10493,0,0,1,1
fresh_visobert_05251,0,0,1,1
fresh_visobert_00989,0,0,1,1
fresh_visobert_00357,0,0,1,1
fresh_visobert_07007,0,0,1,1
fresh_visobert_10553,1,0,0,0
fresh_visobert_07101,0,0,1,1
fresh_visobert_01152,0,0,1,1
fresh_visobert_09277,0,0,1,1
fresh_visobert_04266,0,0,1,1
fresh_visobert_06829,0,0,1,1
fresh_visobert_09535,0,0,1,1
