question,system,scope,backbone,run_id,seed,artifact_id,successful_gpu_hours,failed_or_retried_gpu_hours,status,azure_cost_usd,azure_cost_status
Q1a,Sailor-7B SFT,baseline,Sailor-7B,q1a_sailor_pragmatic_sft_20260522,22,resource::q1a_sailor_pragmatic_sft_20260522,1.0505681272522067,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q1a,Sailor-7B SFT,baseline,Sailor-7B,q1a_sailor_pragmatic_sft_20260523,23,resource::q1a_sailor_pragmatic_sft_20260523,1.0556514848533456,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q1a,Vistral-7B SFT,baseline,Vistral-7B,q1a_vistral_pragmatic_sft_20260521,21,resource::q1a_vistral_pragmatic_sft_20260521,1.1287102714391626,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q1a,Vistral-7B SFT,baseline,Vistral-7B,q1a_vistral_pragmatic_sft_20260522,22,resource::q1a_vistral_pragmatic_sft_20260522,1.139401261329169,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q1a,Vistral-7B SFT,baseline,Vistral-7B,q1a_vistral_pragmatic_sft_20260523,23,resource::q1a_vistral_pragmatic_sft_20260523,1.1396362853719297,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q1a,ViPragSent (XLM-R-large),primary,XLM-R-large,q1a_vipragsent_full_XLM_R_large_optimization_pragmatic_warmup020_irony105_implicit101_sarcasm101_code104_v37_20260521,21,resource::q1a_vipragsent_full_XLM_R_large_optimization_pragmatic_warmup020_irony105_implicit101_sarcasm101_code104_v37_20260521,1.595901585764174,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q1a,ViPragSent (XLM-R-large),primary,XLM-R-large,q1a_vipragsent_full_XLM_R_large_optimization_pragmatic_warmup020_irony105_implicit101_sarcasm101_code104_v37_20260522,22,resource::q1a_vipragsent_full_XLM_R_large_optimization_pragmatic_warmup020_irony105_implicit101_sarcasm101_code104_v37_20260522,1.5819684380127323,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q1a,ViPragSent (XLM-R-large),primary,XLM-R-large,q1a_vipragsent_full_XLM_R_large_optimization_pragmatic_warmup020_irony105_implicit101_sarcasm101_code104_v37_20260523,23,resource::q1a_vipragsent_full_XLM_R_large_optimization_pragmatic_warmup020_irony105_implicit101_sarcasm101_code104_v37_20260523,1.6053314109460917,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q1a,ViPragSent-no-aux (Vistral),excluded_non_xlmr_vipragsent,Vistral-7B,q1a_vipragsent_no_auxiliary_vistral_20260521,21,resource::q1a_vipragsent_no_auxiliary_vistral_20260521,1.2824947788566836,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q1a,ViPragSent-no-aux (Vistral),excluded_non_xlmr_vipragsent,Vistral-7B,q1a_vipragsent_no_auxiliary_vistral_20260522,22,resource::q1a_vipragsent_no_auxiliary_vistral_20260522,1.2567123304311179,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q1a,ViPragSent-no-aux (Vistral),excluded_non_xlmr_vipragsent,Vistral-7B,q1a_vipragsent_no_auxiliary_vistral_20260523,23,resource::q1a_vipragsent_no_auxiliary_vistral_20260523,1.2619642585013935,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q1a,ViPragSent full (Vistral),excluded_non_xlmr_vipragsent,Vistral-7B,q1a_vipragsent_full_vistral_20260521,21,resource::q1a_vipragsent_full_vistral_20260521,1.209952860160912,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q1a,ViPragSent full (Vistral),excluded_non_xlmr_vipragsent,Vistral-7B,q1a_vipragsent_full_vistral_20260522,22,resource::q1a_vipragsent_full_vistral_20260522,1.2729097973814028,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q1a,ViPragSent full (Vistral),excluded_non_xlmr_vipragsent,Vistral-7B,q1a_vipragsent_full_vistral_20260523,23,resource::q1a_vipragsent_full_vistral_20260523,1.2438838826254424,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q1a,ViPragSent-CoT-only (Vistral),excluded_non_xlmr_vipragsent,Vistral-7B,q1a_cot_only_vistral_clean_rerun_003__seed_20260521,21,resource::q1a_cot_only_vistral_clean_rerun_003__seed_20260521,0.0,0.0,RESOURCE_FOUND,,NOT_APPLICABLE
Q1a,ViPragSent-CoT-only (Vistral),excluded_non_xlmr_vipragsent,Vistral-7B,q1a_cot_only_vistral_clean_rerun_003__seed_20260523,23,resource::q1a_cot_only_vistral_clean_rerun_003__seed_20260523,0.0,0.0,RESOURCE_FOUND,,NOT_APPLICABLE
Q2,ViPragSent XLM-R: Full,primary,XLM-R-large,xlmr_followup_q2_full_20260521,21,resource::xlmr_followup_q2_full_20260521,2.6075306696493903,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q2,ViPragSent XLM-R: Full,primary,XLM-R-large,xlmr_followup_q2_full_20260522,22,resource::xlmr_followup_q2_full_20260522,1.6384169207323187,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q2,ViPragSent XLM-R: Full,primary,XLM-R-large,xlmr_followup_q2_full_20260523,23,resource::xlmr_followup_q2_full_20260523,1.605723082045507,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q2,ViPragSent XLM-R: − emotion auxiliary,primary,XLM-R-large,xlmr_followup_q2_no_emotion_auxiliary_20260521,21,resource::xlmr_followup_q2_no_emotion_auxiliary_20260521,1.1007504536624118,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q2,ViPragSent XLM-R: − emotion auxiliary,primary,XLM-R-large,xlmr_followup_q2_no_emotion_auxiliary_20260522,22,resource::xlmr_followup_q2_no_emotion_auxiliary_20260522,1.6175946265258567,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q2,ViPragSent XLM-R: − emotion auxiliary,primary,XLM-R-large,xlmr_followup_q2_no_emotion_auxiliary_20260523,23,resource::xlmr_followup_q2_no_emotion_auxiliary_20260523,1.1102764216688876,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q2,ViPragSent XLM-R: − polarity auxiliary,primary,XLM-R-large,xlmr_followup_q2_no_polarity_auxiliary_20260521,21,resource::xlmr_followup_q2_no_polarity_auxiliary_20260521,1.5832517411972449,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q2,ViPragSent XLM-R: − polarity auxiliary,primary,XLM-R-large,xlmr_followup_q2_no_polarity_auxiliary_20260522,22,resource::xlmr_followup_q2_no_polarity_auxiliary_20260522,1.589680304688712,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q2,ViPragSent XLM-R: − polarity auxiliary,primary,XLM-R-large,xlmr_followup_q2_no_polarity_auxiliary_20260523,23,resource::xlmr_followup_q2_no_polarity_auxiliary_20260523,1.5938477152945578,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q2,ViPragSent XLM-R: − explanation/CoT auxiliary,primary,XLM-R-large,xlmr_followup_q2_no_rationale_20260521,21,resource::xlmr_followup_q2_no_rationale_20260521,0.2671392797680002,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q2,ViPragSent XLM-R: − explanation/CoT auxiliary,primary,XLM-R-large,xlmr_followup_q2_no_rationale_20260522,22,resource::xlmr_followup_q2_no_rationale_20260522,0.44156198510098166,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q2,ViPragSent XLM-R: − explanation/CoT auxiliary,primary,XLM-R-large,xlmr_followup_q2_no_rationale_20260523,23,resource::xlmr_followup_q2_no_rationale_20260523,0.4379029612739881,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q2,ViPragSent XLM-R: − task-uncertainty weighting,primary,XLM-R-large,xlmr_followup_q2_no_uncertainty_weighting_20260521,21,resource::xlmr_followup_q2_no_uncertainty_weighting_20260521,1.5909636288501012,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q2,ViPragSent XLM-R: − task-uncertainty weighting,primary,XLM-R-large,xlmr_followup_q2_no_uncertainty_weighting_20260522,22,resource::xlmr_followup_q2_no_uncertainty_weighting_20260522,1.603026965815548,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q2,ViPragSent XLM-R: − task-uncertainty weighting,primary,XLM-R-large,xlmr_followup_q2_no_uncertainty_weighting_20260523,23,resource::xlmr_followup_q2_no_uncertainty_weighting_20260523,1.6017018801505523,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q2,ViPragSent XLM-R: − multi-task bundle,primary,XLM-R-large,xlmr_followup_q2_no_multitask_20260521,21,resource::xlmr_followup_q2_no_multitask_20260521,2.0622843877421433,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q2,ViPragSent XLM-R: − multi-task bundle,primary,XLM-R-large,xlmr_followup_q2_no_multitask_20260522,22,resource::xlmr_followup_q2_no_multitask_20260522,2.170375049404619,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q2,ViPragSent XLM-R: − multi-task bundle,primary,XLM-R-large,xlmr_followup_q2_no_multitask_20260523,23,resource::xlmr_followup_q2_no_multitask_20260523,2.22129884167445,0.0,RESOURCE_FOUND,,NOT_RECORDED
