question,experiment_id,experiment_group,seed,seed_evidence,backbone_confirmation,repo_id,source_path,pragmatic_f1,sarcasm_f1,implicit_f1,ordinary_f1,ece
Q3,xlmr_followup_q3_full_128_20260523,xlmr_followup_q3_full_128,23,path_date=20260523,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_128_20260523/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-018,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_128_20260523/metrics.json,0.9173606251024181,0.8464,0.9070977331846897,,
Q3,xlmr_followup_q3_full_256_20260523,xlmr_followup_q3_full_256,23,path_date=20260523,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_256_20260523/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-012,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_256_20260523/metrics.json,0.9305029731942217,0.879430337049622,0.9220516313344874,,
Q3,xlmr_followup_q3_full_256_20260522,xlmr_followup_q3_full_256,22,path_date=20260522,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_256_20260522/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-017,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_256_20260522/metrics.json,0.9092793573783706,0.8509254304528195,0.9018777578010957,,
Q3,xlmr_followup_q3_full_256_20260521,xlmr_followup_q3_full_256,21,path_date=20260521,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_256_20260521/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-025,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_256_20260521/metrics.json,0.9096038155289022,0.8282437927811876,0.9052352232335941,,
Q3,xlmr_followup_q3_full_32_20260523,xlmr_followup_q3_full_32,23,path_date=20260523,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_32_20260523/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-017,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_32_20260523/metrics.json,0.9258991254090575,0.8597613137560127,0.9176114648223841,,
Q3,xlmr_followup_q3_full_32_20260521,xlmr_followup_q3_full_32,21,path_date=20260521,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_32_20260521/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-018,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_32_20260521/metrics.json,0.9010872272332408,0.8296671208876776,0.9045391628084578,,
Q3,xlmr_followup_q3_full_32_20260522,xlmr_followup_q3_full_32,22,path_date=20260522,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_32_20260522/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-025,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_32_20260522/metrics.json,0.9067265121533983,0.835405919322912,0.8962514742207799,,
Q3,xlmr_followup_q3_full_512_20260523,xlmr_followup_q3_full_512,23,path_date=20260523,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_512_20260523/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-017,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_512_20260523/metrics.json,0.9298220671161802,0.8847926267281105,0.9100176849857586,,
Q3,xlmr_followup_q3_full_512_20260521,xlmr_followup_q3_full_512,21,path_date=20260521,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_512_20260521/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-018,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_512_20260521/metrics.json,0.925115687782961,0.8605743729635522,0.9134686107385455,,
Q3,xlmr_followup_q3_full_512_20260522,xlmr_followup_q3_full_512,22,path_date=20260522,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_512_20260522/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-025,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_512_20260522/metrics.json,0.915376113369564,0.8704713547401008,0.9008884003387815,,
Q3,xlmr_followup_q3_full_64_20260521,xlmr_followup_q3_full_64,21,path_date=20260521,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_64_20260521/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-012,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_64_20260521/metrics.json,0.9091876000513764,0.8341451491820737,0.9013573232323233,,
Q3,xlmr_followup_q3_full_64_20260522,xlmr_followup_q3_full_64,22,path_date=20260522,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_64_20260522/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-018,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_64_20260522/metrics.json,0.9058181744127086,0.8259602101530463,0.8928203200596583,,
Q3,xlmr_followup_q3_full_64_20260523,xlmr_followup_q3_full_64,23,path_date=20260523,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_64_20260523/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-025,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_64_20260523/metrics.json,0.9212923296161719,0.8506843823904052,0.9057335430047861,,
Q3,xlmr_followup_q3_full_full_20260521,xlmr_followup_q3_full_full,21,path_date=20260521,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_full_20260521/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-012,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_full_20260521/metrics.json,0.9022155644338312,0.8379499694935937,0.8812069375148491,,
Q3,xlmr_followup_q3_full_full_20260522,xlmr_followup_q3_full_full,22,path_date=20260522,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_full_20260522/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-018,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_full_20260522/metrics.json,0.9264561753232735,0.8765265804597702,0.9212137970704537,,
Q3,xlmr_followup_q3_full_full_20260523,xlmr_followup_q3_full_full,23,path_date=20260523,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_full_20260523/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-025,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_full_20260523/metrics.json,0.9048896875327151,0.836716461889716,0.8850726718557143,,
Q4,xlmr_followup_q4_full_20260523,xlmr_followup_q4_full,23,explicit:seed=20260523,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q4_full_20260523/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-012,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q4_full_20260523/paper_artifacts/q4_pragmatic_calibration_per_seed.json,,,,,0.046597620792064844
Q4,xlmr_followup_q4_full_20260521,xlmr_followup_q4_full,21,explicit:seed=20260521,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q4_full_20260521/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-017,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q4_full_20260521/paper_artifacts/q4_pragmatic_calibration_per_seed.json,,,,,0.03480433470304221
Q4,xlmr_followup_q4_full_20260522,xlmr_followup_q4_full,22,explicit:seed=20260522,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q4_full_20260522/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-017,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q4_full_20260522/paper_artifacts/q4_pragmatic_calibration_per_seed.json,,,,,0.03436985909904494
