sample_id,label,text,gold_label,phobert_prediction,azure_prediction,full_vistral_prediction,phobert_confidence,azure_confidence,full_vistral_confidence,stratum,selection_reason,reviewer_1_category,reviewer_2_category,adjudicated_category
fixture_test_0020,irony,synthetic fixture comment 20,0,1,0,0,0.5096602773751835,0.4644356312219877,0.24085009871669927,fixture,fixture validation,,,
fixture_test_0021,idiom_figurative,synthetic fixture comment 21,1,1,1,1,0.5500850857023837,0.680623290944277,0.6183212195979123,fixture,fixture validation,,,
fixture_test_0022,code_switching,synthetic fixture comment 22,0,0,0,1,0.01,0.1695815703882637,0.35740647775588763,fixture,fixture validation,,,
fixture_test_0023,mocking,synthetic fixture comment 23,1,0,0,1,0.8539937072430801,0.7085474927548564,0.6849464350643155,fixture,fixture validation,,,
fixture_test_0024,implicit_sentiment,synthetic fixture comment 24,1,1,1,1,0.6765558694185264,0.6607838017354906,0.6183723882467405,fixture,fixture validation,,,
fixture_test_0025,sarcasm,synthetic fixture comment 25,0,1,1,0,0.01,0.5506971664830331,0.14608574000860372,fixture,fixture validation,,,
fixture_test_0026,irony,synthetic fixture comment 26,0,0,1,0,0.3581278021793477,0.3131014960816396,0.20078825836496372,fixture,fixture validation,,,
fixture_test_0027,idiom_figurative,synthetic fixture comment 27,0,0,1,0,0.1482807133628897,0.5255820884505225,0.22699679287287935,fixture,fixture validation,,,
fixture_test_0028,code_switching,synthetic fixture comment 28,0,0,0,0,0.19484642219279222,0.40957092943690776,0.1491042166265626,fixture,fixture validation,,,
fixture_test_0029,mocking,synthetic fixture comment 29,0,0,1,0,0.3677669865874785,0.34158688261813314,0.16574367537625057,fixture,fixture validation,,,
fixture_test_0030,implicit_sentiment,synthetic fixture comment 30,1,1,1,1,0.5168270749761855,0.8556922528947952,0.8474920186488379,fixture,fixture validation,,,
fixture_test_0031,sarcasm,synthetic fixture comment 31,1,1,1,0,0.99,0.9063725961704782,0.8140220222915319,fixture,fixture validation,,,
fixture_test_0032,irony,synthetic fixture comment 32,0,1,0,0,0.3394582542460976,0.17331281237186502,0.3958619863509759,fixture,fixture validation,,,
fixture_test_0033,idiom_figurative,synthetic fixture comment 33,1,1,1,1,0.9153900064497527,0.6872509563471199,0.795284081318923,fixture,fixture validation,,,
fixture_test_0034,code_switching,synthetic fixture comment 34,0,1,0,0,0.33735210843770386,0.10732413855562895,0.2672268783922939,fixture,fixture validation,,,
fixture_test_0035,mocking,synthetic fixture comment 35,1,0,1,1,0.671262183970249,0.8831579135589163,0.8031805908210069,fixture,fixture validation,,,
fixture_test_0036,implicit_sentiment,synthetic fixture comment 36,1,1,1,1,0.8272715091193152,0.8034647515710883,0.9641516059189386,fixture,fixture validation,,,
fixture_test_0037,sarcasm,synthetic fixture comment 37,0,1,0,0,0.3162652642488577,0.01,0.22459669431962126,fixture,fixture validation,,,
fixture_test_0038,irony,synthetic fixture comment 38,0,0,0,0,0.23916711237648497,0.2290879387430989,0.18277307758903638,fixture,fixture validation,,,
fixture_test_0039,idiom_figurative,synthetic fixture comment 39,0,1,0,0,0.01086692584077581,0.435935939528635,0.2856632063309466,fixture,fixture validation,,,
fixture_test_0040,code_switching,synthetic fixture comment 40,0,0,1,0,0.23436670811835275,0.5392764742437066,0.1473525850282281,fixture,fixture validation,,,
fixture_test_0041,mocking,synthetic fixture comment 41,0,0,0,0,0.23476321190764393,0.20178992885555522,0.20153729970469914,fixture,fixture validation,,,
fixture_test_0042,implicit_sentiment,synthetic fixture comment 42,1,1,1,1,0.8593088428722231,0.5473188180700448,0.99,fixture,fixture validation,,,
fixture_test_0043,sarcasm,synthetic fixture comment 43,1,1,0,1,0.9444193674837609,0.9734129824730263,0.6892073102648867,fixture,fixture validation,,,
fixture_test_0044,irony,synthetic fixture comment 44,0,0,1,0,0.1669488557643906,0.34915267667221067,0.23395780113266818,fixture,fixture validation,,,
fixture_test_0045,idiom_figurative,synthetic fixture comment 45,1,1,1,1,0.7787507697736049,0.795257945050305,0.9454749887353178,fixture,fixture validation,,,
fixture_test_0046,code_switching,synthetic fixture comment 46,0,0,1,0,0.33639194124705685,0.31738358244888953,0.18006878503875176,fixture,fixture validation,,,
fixture_test_0047,mocking,synthetic fixture comment 47,1,1,1,1,0.8039789552923284,0.45914581924554665,0.8463426230489981,fixture,fixture validation,,,
fixture_test_0048,implicit_sentiment,synthetic fixture comment 48,1,1,0,1,0.8957892243118417,0.8870680971837529,0.6679165157940571,fixture,fixture validation,,,
fixture_test_0049,sarcasm,synthetic fixture comment 49,0,0,0,0,0.20648220534288422,0.36620296842374056,0.2478532831670466,fixture,fixture validation,,,
fixture_test_0050,irony,synthetic fixture comment 50,0,0,0,0,0.2535254572732147,0.1801571012939795,0.24734105738845868,fixture,fixture validation,,,
fixture_test_0051,idiom_figurative,synthetic fixture comment 51,0,0,0,0,0.3972184780998306,0.46073838937567635,0.5743343620005773,fixture,fixture validation,,,
fixture_test_0052,code_switching,synthetic fixture comment 52,0,0,0,0,0.01,0.09849216244635764,0.17314995301780656,fixture,fixture validation,,,
fixture_test_0053,mocking,synthetic fixture comment 53,0,0,0,0,0.28845738736465554,0.16826812475198824,0.25768775515001063,fixture,fixture validation,,,
fixture_test_0054,implicit_sentiment,synthetic fixture comment 54,1,1,1,1,0.9259715731497627,0.6808529716407317,0.5999082491055358,fixture,fixture validation,,,
fixture_test_0055,sarcasm,synthetic fixture comment 55,1,1,0,1,0.6264437843291105,0.5935507740717894,0.5662891865694463,fixture,fixture validation,,,
fixture_test_0056,irony,synthetic fixture comment 56,0,0,0,0,0.4448628350039564,0.11639425866713263,0.3909537302179772,fixture,fixture validation,,,
fixture_test_0057,idiom_figurative,synthetic fixture comment 57,1,0,1,1,0.6585290404016937,0.7758113231147433,0.627058009690636,fixture,fixture validation,,,
fixture_test_0058,code_switching,synthetic fixture comment 58,0,0,1,0,0.21133418953936473,0.6767498664491984,0.3925859942919218,fixture,fixture validation,,,
fixture_test_0059,mocking,synthetic fixture comment 59,1,0,1,1,0.9595249070049885,0.7091197927434061,0.6452101070823513,fixture,fixture validation,,,
fixture_test_0060,implicit_sentiment,synthetic fixture comment 60,1,1,0,1,0.860678121671062,0.5525744616317514,0.5955106138084139,fixture,fixture validation,,,
fixture_test_0061,sarcasm,synthetic fixture comment 61,0,0,0,0,0.32927385046849983,0.35347661365058825,0.29317674318137044,fixture,fixture validation,,,
fixture_test_0062,irony,synthetic fixture comment 62,0,0,0,0,0.29080767236438465,0.5287731534480531,0.3867248193208307,fixture,fixture validation,,,
fixture_test_0063,idiom_figurative,synthetic fixture comment 63,0,0,0,0,0.5501297711211863,0.4185565821019015,0.1864571869231033,fixture,fixture validation,,,
