sample_id,source_row,text,implicit_sentiment,sarcasm,irony,idiom_figurative,code_switching,mocking,polarity,emotion,source_dataset,annotation_batch,original_label,rubric,reannotation_version,annotation_role,annotation_provenance
fresh_visobert_09934,32,Thuoc ho uong ngay may vien duong,0,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_050,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_09255,33,"ủa tao tưởng trái bòn bon chứ ,",0,0,0,0,0,0,neutral,surprise,SEACrowd/ViSoBERT,batch_047,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_09268,34,"Ngô Diệu Linh thuỳ linh ,Nguyễn Thị Hồng Ngọc minh Nguyễn Thị Hồng Ngọc",0,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_047,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_03741,35,địa điểm ăn nhậu họp cách diễn kakaa,1,0,0,0,0,1,neutral,disgust,SEACrowd/ViSoBERT,batch_019,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_08979,36,Em đổi đôi kia nấy rắn đen được ko ak mai em qua quán nấy,0,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_045,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_06141,37,Shop cho e xin bảng giá ạ,0,0,0,0,1,0,neutral,other,SEACrowd/ViSoBERT,batch_031,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_00656,38,cương đặng bảo palu lưu 😂 😂,0,0,0,0,0,0,neutral,enjoyment,SEACrowd/ViSoBERT,batch_004,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_06226,39,"Bàn phím đẹp, chất lượng, giao hàng nhanh",0,0,0,0,0,0,positive,enjoyment,SEACrowd/ViSoBERT,batch_032,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_05082,40,thật tình noi cưng,0,0,0,0,0,0,positive,enjoyment,SEACrowd/ViSoBERT,batch_051,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_04579,41,hải yến tổ sư dở ng hài hước cặc lòn cmt ngta ỉa mặt hải yến,0,0,0,0,0,0,negative,sadness,SEACrowd/ViSoBERT,batch_023,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_11503,42,kênh hay mà ra video chậm nhỉ quá là buồn,0,0,1,0,1,0,neutral,sadness,SEACrowd/ViSoBERT,batch_058,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_03267,43,buồn lắm )),0,0,0,0,0,0,negative,sadness,SEACrowd/ViSoBERT,batch_017,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_07813,44,E sợ t gian lm giàu rồi mà tuổi tác già yếu mẹ rồi,1,0,1,0,0,0,negative,fear,SEACrowd/ViSoBERT,batch_040,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_07053,45,Vẫn thích TNS của ngày trước hơn,0,0,0,0,0,0,positive,enjoyment,SEACrowd/ViSoBERT,batch_036,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_08658,46,Đỗ Trình bn cưng,0,0,0,0,0,0,positive,enjoyment,SEACrowd/ViSoBERT,batch_087,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_11252,47,Kim Hằng luyện kỹ năng listening cùng cô Moon =)))),1,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_057,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_02425,48,bùi tiến dũng nhá,0,0,0,0,0,0,neutral,sadness,SEACrowd/ViSoBERT,batch_025,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_03237,49,jiang jiang 👉 👉 liên hệ even show chụp ảnh pr call quản lý 9 8 9 😀 😙 ❤ ❤ 👈 👈,0,0,0,0,0,0,positive,enjoyment,SEACrowd/ViSoBERT,batch_017,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_11672,50,Hôm nay VN nối đá thua thái nhất hàng thủ giỏi nhất đông nam á😆,0,0,0,0,0,0,neutral,enjoyment,SEACrowd/ViSoBERT,batch_059,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_10144,51,Sắp phải jk hok rồi chán ghê😞,0,0,0,0,0,0,negative,sadness,SEACrowd/ViSoBERT,batch_051,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_11720,52,son môi 9948869,0,0,0,0,0,0,positive,sadness,SEACrowd/ViSoBERT,batch_118,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_01176,53,nhôn lùng ngôn lù 🤬,0,0,0,0,0,0,positive,enjoyment,SEACrowd/ViSoBERT,batch_012,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_05572,54,chi kb fb nè 99869,0,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_028,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_10914,55,"Chắc chị sắp thất nghiệp rồi Gấu, 5 này bên công ty cho nghỉ toàn bộ luôn rồi.",0,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_055,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_01020,56,hn thu nguyên hả dạ,0,0,0,0,0,0,neutral,surprise,SEACrowd/ViSoBERT,batch_006,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_07408,57,"Chơi mà lòng tự nhủ ""game là để giải trí, để giải trí, để giải trí, để giải trí, nhưng đell phải con game loèn này, con game loèn này ứ phải để giải trí"" 🤣🤣🤣",1,1,1,0,1,1,neutral,enjoyment,SEACrowd/ViSoBERT,batch_038,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_04789,58,xịt lốp oto vs xịt lốp xe máy tiền phạt oto vs xe máy,0,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_024,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_03832,59,tưởng nhầm kênh pha abe,1,0,0,0,0,0,neutral,surprise,SEACrowd/ViSoBERT,batch_039,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_09700,60,Lại chí lớn gặp nhau Nguyễn Hoàng Nam Quỳnh Khánh Vy Nguyễn Thảo Vân Trương Đình Thanh Gia Hân Le Ha Bao Nhi Như Ýy,0,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_049,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_10786,61,Lên thêm thánh kiếm 5k dam,0,0,0,0,0,0,neutral,sadness,SEACrowd/ViSoBERT,batch_108,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_06828,62,Kkk. Để đi sắm cái,0,0,0,0,0,0,neutral,enjoyment,SEACrowd/ViSoBERT,batch_035,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_10213,63,Flash thua theo chiến thuật làm anh tưởng đánh yếu lo vãi,1,0,1,0,0,1,neutral,fear,SEACrowd/ViSoBERT,batch_052,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_00822,64,bảo virus corona sống máu thua )),0,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_005,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_11699,65,lần tuần :)),1,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_059,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_07919,66,"Ớ, rớt tym rồi💓",0,0,0,0,0,0,positive,enjoyment,SEACrowd/ViSoBERT,batch_080,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_06320,67,mắ tự nhiên thấy ngầu thiệt chứ =)),1,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_032,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_10818,68,Chúc blog của chị sẽ phát triển hơn nữa nè :,0,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_055,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_03163,69,trần minh nhà,0,0,0,0,0,0,positive,enjoyment,SEACrowd/ViSoBERT,batch_032,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_07805,70,chi my xinh dep qua di thoi,0,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_040,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_09325,71,Mới đi tè vào cái - 😕,0,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_047,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_01274,72,tùng sói tutu hoy,0,0,0,0,0,0,positive,other,SEACrowd/ViSoBERT,batch_013,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_03228,73,tết nhạt chỉ đứa trẻ =))),1,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_017,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_10810,74,Ad cho xin thông tin lightning show trong công viên Bạch Đằng đê,0,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_055,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_10481,75,làm cái review đi xem SNSD đi schanel oi :v,0,0,0,0,1,0,neutral,other,SEACrowd/ViSoBERT,batch_053,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_06872,76,"Page mình nhận chạy deadline dùm tất cả mọi người, làm tất cả mọi thứ lun nè💚",0,0,0,0,1,0,neutral,other,SEACrowd/ViSoBERT,batch_035,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_07983,77,Diệp Đình Huy rất thuyết phục,0,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_040,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_09493,78,Welcome back anh chị em đến với kênh anh đầu hộp chúc mọi người buổi tối an lành 😍😍,0,0,0,0,0,0,positive,enjoyment,SEACrowd/ViSoBERT,batch_048,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_10375,79,"Ánh đèn vàng, làn sương mù, cỏ cây ven đường phố bên đồi",0,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_052,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_11727,80,"Bàn thì chả ngồi mấy nhưng mà ae siêu nhân thì bày cho kín bàn , chả thấy sổ sách giấy tờ gì ở bàn 😅😅",1,0,1,0,0,0,neutral,surprise,SEACrowd/ViSoBERT,batch_059,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_06323,81,Khánh Lâm Truong Tieu Lam Duy Lập Dị sắp tới rồi ae sắp xếp đi nè,0,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_032,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_02463,82,cỗ bàn chén dc ae nhể gấu bốn mắt phạm phương cặc nga độc muỗi bọn cứt nát lá xoan,0,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_013,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_10163,83,Nhà thương - tiếng Sài Gòn xưa kêu tên bịnh viện,0,0,0,0,0,0,neutral,sadness,SEACrowd/ViSoBERT,batch_051,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_06416,84,Hải Phòng tôi bán gà Ngon hơn ny cũ các ông. Thank ad 💓,1,0,0,0,1,1,neutral,disgust,SEACrowd/ViSoBERT,batch_033,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_06778,85,"Ánh TuyếtThuỳ TrangPhuongg Anhh cuộc chiến của các nhà bđs tài ba, người thắng thì có tất còn người thua thì ăn l:)))))))",1,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_034,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_05505,86,dầu tẩy trang nhật hàng xách,0,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_028,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_09695,87,Đây là văn phòng mới hay chỉ là trong đợt Tech Awards mới sang đây hả ad,0,0,0,0,0,0,positive,surprise,SEACrowd/ViSoBERT,batch_049,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_11467,88,Khi nào mở ở Điện Biên e mời A chị tham dự nhé Nhớ có quà cho e.,0,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_058,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_10076,89,Nguyễn Thu Hà mình đợi,0,0,0,0,0,0,negative,other,SEACrowd/ViSoBERT,batch_101,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_11657,90,Chó để con linh cá lóc,0,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_059,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_00076,91,Tới luôn bạn. Nhà mình ở Tân Bình đường Cộng Hoà :)),1,1,0,0,0,1,neutral,disgust,SEACrowd/ViSoBERT,batch_001,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_09684,92,CT này chán như con zán,1,0,0,1,0,1,negative,disgust,SEACrowd/ViSoBERT,batch_049,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_11358,93,"♨Uống HIGHLAND COFFEE Ít tốn tiền, nhiều ưu đãi",0,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_057,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_09890,94,Mồ chôn một lũ ngủ quên,0,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_050,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_02255,95,nhập code đc huy hiệu,0,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_012,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_10836,96,page này bây h toàn chửi sai =))) đk cái đọc cũng mang tính giải trí cao =)),1,1,0,0,0,1,neutral,disgust,SEACrowd/ViSoBERT,batch_055,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_11172,97,Nhận lì xì tại đây: 954,0,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_056,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_03292,98,mặc áo stream abe,0,0,0,0,1,0,neutral,other,SEACrowd/ViSoBERT,batch_017,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_09156,99,Góc chụp thần thánh 💖💖💖 đẹp xứt xắt 💓💓💓,1,0,0,1,0,0,positive,enjoyment,SEACrowd/ViSoBERT,batch_046,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_08300,100,"trên quả người cáo có quà tặng, mà giao hàng không có. không hài lòng chút nào .dù là quà không không dùng được cũng phải tăng như quả người cáo chứ 😡😡😡😡",1,0,1,1,0,0,neutral,anger,SEACrowd/ViSoBERT,batch_042,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
