experiment_id,run_id,research_question,system_id,system,display_name,variant,backbone,seed,budget,task,split,dependencies,required_phase15_assets,checkpoint_role,expected_outputs,reusable_checkpoint_key,selection_metric,evaluation_protocol,execution_kind,model_repository,model_revision,tokenizer_revision,preprocessing_name,preprocessing_version,source_checkpoint_id,q3_mask_path,q3_mask_hash,training_applicability,approval_required,execution_status,approval_status,protocol_resolution_status,resolution_status
q1a_sailor_pragmatic_sft_20260522,q1a_sailor_pragmatic_sft_20260522,Q1a,sailor_pragmatic_sft,sailor_pragmatic_sft,Sailor-7B pragmatic SFT,pragmatic_sft,sailor_7b,20260522,,pragmatic,vipragsent_test,preflight_validation;rationale_generation,model_weights;tokenizer;runtime_profile,sailor_pragmatic_sft,predictions;metrics;history,sailor_pragmatic_sft:20260522,macro_prag_f1_dev,q1a_frozen_dev_threshold_v1,trainable,sail/Sailor-7B,b8b49a0f02073e58db2e42e5811955dfe87ca970,b8b49a0f02073e58db2e42e5811955dfe87ca970,vncorenlp_rdrsegmenter,locked-v1,sailor_pragmatic_sft:20260522,,,APPLICABLE,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
q1a_sailor_pragmatic_sft_20260523,q1a_sailor_pragmatic_sft_20260523,Q1a,sailor_pragmatic_sft,sailor_pragmatic_sft,Sailor-7B pragmatic SFT,pragmatic_sft,sailor_7b,20260523,,pragmatic,vipragsent_test,preflight_validation;rationale_generation,model_weights;tokenizer;runtime_profile,sailor_pragmatic_sft,predictions;metrics;history,sailor_pragmatic_sft:20260523,macro_prag_f1_dev,q1a_frozen_dev_threshold_v1,trainable,sail/Sailor-7B,b8b49a0f02073e58db2e42e5811955dfe87ca970,b8b49a0f02073e58db2e42e5811955dfe87ca970,vncorenlp_rdrsegmenter,locked-v1,sailor_pragmatic_sft:20260523,,,APPLICABLE,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
q1a_vistral_pragmatic_sft_20260521,q1a_vistral_pragmatic_sft_20260521,Q1a,vistral_pragmatic_sft,vistral_pragmatic_sft,Vistral-7B pragmatic SFT,pragmatic_sft,vistral_7b,20260521,,pragmatic,vipragsent_test,preflight_validation;rationale_generation,model_weights;tokenizer;runtime_profile,vistral_pragmatic_sft,predictions;metrics;history,vistral_pragmatic_sft:20260521,macro_prag_f1_dev,q1a_frozen_dev_threshold_v1,trainable,Viet-Mistral/Vistral-7B-Chat,d331b64e61b935cc43c2b3010ae9fb4fde599b45,d331b64e61b935cc43c2b3010ae9fb4fde599b45,vncorenlp_rdrsegmenter,locked-v1,vistral_pragmatic_sft:20260521,,,APPLICABLE,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
q1a_vistral_pragmatic_sft_20260522,q1a_vistral_pragmatic_sft_20260522,Q1a,vistral_pragmatic_sft,vistral_pragmatic_sft,Vistral-7B pragmatic SFT,pragmatic_sft,vistral_7b,20260522,,pragmatic,vipragsent_test,preflight_validation;rationale_generation,model_weights;tokenizer;runtime_profile,vistral_pragmatic_sft,predictions;metrics;history,vistral_pragmatic_sft:20260522,macro_prag_f1_dev,q1a_frozen_dev_threshold_v1,trainable,Viet-Mistral/Vistral-7B-Chat,d331b64e61b935cc43c2b3010ae9fb4fde599b45,d331b64e61b935cc43c2b3010ae9fb4fde599b45,vncorenlp_rdrsegmenter,locked-v1,vistral_pragmatic_sft:20260522,,,APPLICABLE,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
q1a_vistral_pragmatic_sft_20260523,q1a_vistral_pragmatic_sft_20260523,Q1a,vistral_pragmatic_sft,vistral_pragmatic_sft,Vistral-7B pragmatic SFT,pragmatic_sft,vistral_7b,20260523,,pragmatic,vipragsent_test,preflight_validation;rationale_generation,model_weights;tokenizer;runtime_profile,vistral_pragmatic_sft,predictions;metrics;history,vistral_pragmatic_sft:20260523,macro_prag_f1_dev,q1a_frozen_dev_threshold_v1,trainable,Viet-Mistral/Vistral-7B-Chat,d331b64e61b935cc43c2b3010ae9fb4fde599b45,d331b64e61b935cc43c2b3010ae9fb4fde599b45,vncorenlp_rdrsegmenter,locked-v1,vistral_pragmatic_sft:20260523,,,APPLICABLE,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
q1a_vipragsent_no_auxiliary_vistral_20260521,q1a_vipragsent_no_auxiliary_vistral_20260521,Q1a,vipragsent_no_auxiliary_vistral,vipragsent_no_auxiliary_vistral,ViPragSent - no auxiliary losses,no_auxiliary,vistral_7b,20260521,,pragmatic,vipragsent_test,preflight_validation;rationale_generation,model_weights;tokenizer;runtime_profile,vipragsent_no_auxiliary_vistral,predictions;metrics;history,vipragsent_no_auxiliary_vistral:20260521,macro_prag_f1_dev,q1a_frozen_dev_threshold_v1,trainable,Viet-Mistral/Vistral-7B-Chat,d331b64e61b935cc43c2b3010ae9fb4fde599b45,d331b64e61b935cc43c2b3010ae9fb4fde599b45,vncorenlp_rdrsegmenter,locked-v1,vipragsent_no_auxiliary_vistral:20260521,,,APPLICABLE,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
q1a_vipragsent_no_auxiliary_vistral_20260522,q1a_vipragsent_no_auxiliary_vistral_20260522,Q1a,vipragsent_no_auxiliary_vistral,vipragsent_no_auxiliary_vistral,ViPragSent - no auxiliary losses,no_auxiliary,vistral_7b,20260522,,pragmatic,vipragsent_test,preflight_validation;rationale_generation,model_weights;tokenizer;runtime_profile,vipragsent_no_auxiliary_vistral,predictions;metrics;history,vipragsent_no_auxiliary_vistral:20260522,macro_prag_f1_dev,q1a_frozen_dev_threshold_v1,trainable,Viet-Mistral/Vistral-7B-Chat,d331b64e61b935cc43c2b3010ae9fb4fde599b45,d331b64e61b935cc43c2b3010ae9fb4fde599b45,vncorenlp_rdrsegmenter,locked-v1,vipragsent_no_auxiliary_vistral:20260522,,,APPLICABLE,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
q1a_vipragsent_no_auxiliary_vistral_20260523,q1a_vipragsent_no_auxiliary_vistral_20260523,Q1a,vipragsent_no_auxiliary_vistral,vipragsent_no_auxiliary_vistral,ViPragSent - no auxiliary losses,no_auxiliary,vistral_7b,20260523,,pragmatic,vipragsent_test,preflight_validation;rationale_generation,model_weights;tokenizer;runtime_profile,vipragsent_no_auxiliary_vistral,predictions;metrics;history,vipragsent_no_auxiliary_vistral:20260523,macro_prag_f1_dev,q1a_frozen_dev_threshold_v1,trainable,Viet-Mistral/Vistral-7B-Chat,d331b64e61b935cc43c2b3010ae9fb4fde599b45,d331b64e61b935cc43c2b3010ae9fb4fde599b45,vncorenlp_rdrsegmenter,locked-v1,vipragsent_no_auxiliary_vistral:20260523,,,APPLICABLE,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
q1a_cot_only_vistral_20260521,q1a_cot_only_vistral_20260521,Q1a,cot_only_vistral,cot_only_vistral,Vistral CoT-only,cot_only,vistral_7b,20260521,,pragmatic,vipragsent_test,preflight_validation;rationale_generation,model_weights;tokenizer;runtime_profile,cot_only_vistral,predictions;metrics;history,cot_only_vistral:20260521,macro_prag_f1_dev,q1a_frozen_dev_threshold_v1,generation,Viet-Mistral/Vistral-7B-Chat,d331b64e61b935cc43c2b3010ae9fb4fde599b45,d331b64e61b935cc43c2b3010ae9fb4fde599b45,vncorenlp_rdrsegmenter,locked-v1,cot_only_vistral:20260521,,,APPLICABLE,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
q1a_cot_only_vistral_20260522,q1a_cot_only_vistral_20260522,Q1a,cot_only_vistral,cot_only_vistral,Vistral CoT-only,cot_only,vistral_7b,20260522,,pragmatic,vipragsent_test,preflight_validation;rationale_generation,model_weights;tokenizer;runtime_profile,cot_only_vistral,predictions;metrics;history,cot_only_vistral:20260522,macro_prag_f1_dev,q1a_frozen_dev_threshold_v1,generation,Viet-Mistral/Vistral-7B-Chat,d331b64e61b935cc43c2b3010ae9fb4fde599b45,d331b64e61b935cc43c2b3010ae9fb4fde599b45,vncorenlp_rdrsegmenter,locked-v1,cot_only_vistral:20260522,,,APPLICABLE,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
q1a_cot_only_vistral_20260523,q1a_cot_only_vistral_20260523,Q1a,cot_only_vistral,cot_only_vistral,Vistral CoT-only,cot_only,vistral_7b,20260523,,pragmatic,vipragsent_test,preflight_validation;rationale_generation,model_weights;tokenizer;runtime_profile,cot_only_vistral,predictions;metrics;history,cot_only_vistral:20260523,macro_prag_f1_dev,q1a_frozen_dev_threshold_v1,generation,Viet-Mistral/Vistral-7B-Chat,d331b64e61b935cc43c2b3010ae9fb4fde599b45,d331b64e61b935cc43c2b3010ae9fb4fde599b45,vncorenlp_rdrsegmenter,locked-v1,cot_only_vistral:20260523,,,APPLICABLE,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
q1a_explanation_only_vistral_20260521,q1a_explanation_only_vistral_20260521,Q1a,explanation_only_vistral,explanation_only_vistral,Vistral explanation-only,explanation_only,vistral_7b,20260521,,pragmatic,vipragsent_test,preflight_validation;rationale_generation,model_weights;tokenizer;runtime_profile,explanation_only_vistral,predictions;metrics;history,explanation_only_vistral:20260521,macro_prag_f1_dev,q1a_frozen_dev_threshold_v1,generation,Viet-Mistral/Vistral-7B-Chat,d331b64e61b935cc43c2b3010ae9fb4fde599b45,d331b64e61b935cc43c2b3010ae9fb4fde599b45,vncorenlp_rdrsegmenter,locked-v1,explanation_only_vistral:20260521,,,APPLICABLE,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
q1a_explanation_only_vistral_20260522,q1a_explanation_only_vistral_20260522,Q1a,explanation_only_vistral,explanation_only_vistral,Vistral explanation-only,explanation_only,vistral_7b,20260522,,pragmatic,vipragsent_test,preflight_validation;rationale_generation,model_weights;tokenizer;runtime_profile,explanation_only_vistral,predictions;metrics;history,explanation_only_vistral:20260522,macro_prag_f1_dev,q1a_frozen_dev_threshold_v1,generation,Viet-Mistral/Vistral-7B-Chat,d331b64e61b935cc43c2b3010ae9fb4fde599b45,d331b64e61b935cc43c2b3010ae9fb4fde599b45,vncorenlp_rdrsegmenter,locked-v1,explanation_only_vistral:20260522,,,APPLICABLE,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
q1a_explanation_only_vistral_20260523,q1a_explanation_only_vistral_20260523,Q1a,explanation_only_vistral,explanation_only_vistral,Vistral explanation-only,explanation_only,vistral_7b,20260523,,pragmatic,vipragsent_test,preflight_validation;rationale_generation,model_weights;tokenizer;runtime_profile,explanation_only_vistral,predictions;metrics;history,explanation_only_vistral:20260523,macro_prag_f1_dev,q1a_frozen_dev_threshold_v1,generation,Viet-Mistral/Vistral-7B-Chat,d331b64e61b935cc43c2b3010ae9fb4fde599b45,d331b64e61b935cc43c2b3010ae9fb4fde599b45,vncorenlp_rdrsegmenter,locked-v1,explanation_only_vistral:20260523,,,APPLICABLE,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
q1a_vipragsent_full_vistral_20260521,q1a_vipragsent_full_vistral_20260521,Q1a,vipragsent_full_vistral,vipragsent_full_vistral,Full ViPragSent Vistral,full,vistral_7b,20260521,,pragmatic,vipragsent_test,preflight_validation;rationale_generation,model_weights;tokenizer;runtime_profile,vipragsent_full_vistral,predictions;metrics;history,vipragsent_full_vistral:20260521,macro_prag_f1_dev,q1a_frozen_dev_threshold_v1,trainable,Viet-Mistral/Vistral-7B-Chat,d331b64e61b935cc43c2b3010ae9fb4fde599b45,d331b64e61b935cc43c2b3010ae9fb4fde599b45,vncorenlp_rdrsegmenter,locked-v1,vipragsent_full_vistral:20260521,,,APPLICABLE,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
q1a_vipragsent_full_vistral_20260522,q1a_vipragsent_full_vistral_20260522,Q1a,vipragsent_full_vistral,vipragsent_full_vistral,Full ViPragSent Vistral,full,vistral_7b,20260522,,pragmatic,vipragsent_test,preflight_validation;rationale_generation,model_weights;tokenizer;runtime_profile,vipragsent_full_vistral,predictions;metrics;history,vipragsent_full_vistral:20260522,macro_prag_f1_dev,q1a_frozen_dev_threshold_v1,trainable,Viet-Mistral/Vistral-7B-Chat,d331b64e61b935cc43c2b3010ae9fb4fde599b45,d331b64e61b935cc43c2b3010ae9fb4fde599b45,vncorenlp_rdrsegmenter,locked-v1,vipragsent_full_vistral:20260522,,,APPLICABLE,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
q1a_vipragsent_full_vistral_20260523,q1a_vipragsent_full_vistral_20260523,Q1a,vipragsent_full_vistral,vipragsent_full_vistral,Full ViPragSent Vistral,full,vistral_7b,20260523,,pragmatic,vipragsent_test,preflight_validation;rationale_generation,model_weights;tokenizer;runtime_profile,vipragsent_full_vistral,predictions;metrics;history,vipragsent_full_vistral:20260523,macro_prag_f1_dev,q1a_frozen_dev_threshold_v1,trainable,Viet-Mistral/Vistral-7B-Chat,d331b64e61b935cc43c2b3010ae9fb4fde599b45,d331b64e61b935cc43c2b3010ae9fb4fde599b45,vncorenlp_rdrsegmenter,locked-v1,vipragsent_full_vistral:20260523,,,APPLICABLE,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
q1a_azure_gpt41_mini_zeroshot,q1a_azure_gpt41_mini_zeroshot,Q1a,azure_gpt41_mini_zeroshot,azure_gpt41_mini_zeroshot,azure_gpt41_mini_zeroshot,zero_shot,azure,,,pragmatic,vipragsent_test,preflight_validation,azure_deployment;prompt_manifest,azure_gpt41_mini_zeroshot,predictions;usage,azure_gpt41_mini_zeroshot,macro_prag_f1_dev,q1a_frozen_dev_threshold_v1,azure,,,,azure_prompt_protocol,locked-v1,azure_gpt41_mini_zeroshot,,,NOT_APPLICABLE,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
q1a_azure_gpt41_mini_8shot,q1a_azure_gpt41_mini_8shot,Q1a,azure_gpt41_mini_8shot,azure_gpt41_mini_8shot,azure_gpt41_mini_8shot,eight_shot,azure,,,pragmatic,vipragsent_test,preflight_validation,azure_deployment;prompt_manifest,azure_gpt41_mini_8shot,predictions;usage,azure_gpt41_mini_8shot,macro_prag_f1_dev,q1a_frozen_dev_threshold_v1,azure,,,,azure_prompt_protocol,locked-v1,azure_gpt41_mini_8shot,,,NOT_APPLICABLE,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
q1b_phobert_pol_single_20260521,q1b_phobert_pol_single_20260521,Q1b,phobert_pol_single,phobert_pol_single,phobert_pol_single,table3_checkpoint,phobert_base,20260521,,polarity,external_test,table3_checkpoint_training,model_weights;tokenizer;runtime_profile,phobert_pol_single,external_predictions;metrics,phobert_pol_single:20260521,ord_external_f1,q1b_external_retention_v1,evaluation_only,vinai/phobert-base,01daacda68afe13d83023d16ec647239e344a1e6,01daacda68afe13d83023d16ec647239e344a1e6,vncorenlp_rdrsegmenter,locked-v1,phobert_pol_single:20260521,,,NOT_APPLICABLE,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
q1b_phobert_pol_single_20260522,q1b_phobert_pol_single_20260522,Q1b,phobert_pol_single,phobert_pol_single,phobert_pol_single,table3_checkpoint,phobert_base,20260522,,polarity,external_test,table3_checkpoint_training,model_weights;tokenizer;runtime_profile,phobert_pol_single,external_predictions;metrics,phobert_pol_single:20260522,ord_external_f1,q1b_external_retention_v1,evaluation_only,vinai/phobert-base,01daacda68afe13d83023d16ec647239e344a1e6,01daacda68afe13d83023d16ec647239e344a1e6,vncorenlp_rdrsegmenter,locked-v1,phobert_pol_single:20260522,,,NOT_APPLICABLE,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
q1b_phobert_pol_single_20260523,q1b_phobert_pol_single_20260523,Q1b,phobert_pol_single,phobert_pol_single,phobert_pol_single,table3_checkpoint,phobert_base,20260523,,polarity,external_test,table3_checkpoint_training,model_weights;tokenizer;runtime_profile,phobert_pol_single,external_predictions;metrics,phobert_pol_single:20260523,ord_external_f1,q1b_external_retention_v1,evaluation_only,vinai/phobert-base,01daacda68afe13d83023d16ec647239e344a1e6,01daacda68afe13d83023d16ec647239e344a1e6,vncorenlp_rdrsegmenter,locked-v1,phobert_pol_single:20260523,,,NOT_APPLICABLE,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
q1b_phobert_emo_single_20260521,q1b_phobert_emo_single_20260521,Q1b,phobert_emo_single,phobert_emo_single,phobert_emo_single,table3_checkpoint,phobert_base,20260521,,emotion,external_test,table3_checkpoint_training,model_weights;tokenizer;runtime_profile,phobert_emo_single,external_predictions;metrics,phobert_emo_single:20260521,ord_external_f1,q1b_external_retention_v1,evaluation_only,vinai/phobert-base,01daacda68afe13d83023d16ec647239e344a1e6,01daacda68afe13d83023d16ec647239e344a1e6,vncorenlp_rdrsegmenter,locked-v1,phobert_emo_single:20260521,,,NOT_APPLICABLE,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
q1b_phobert_emo_single_20260522,q1b_phobert_emo_single_20260522,Q1b,phobert_emo_single,phobert_emo_single,phobert_emo_single,table3_checkpoint,phobert_base,20260522,,emotion,external_test,table3_checkpoint_training,model_weights;tokenizer;runtime_profile,phobert_emo_single,external_predictions;metrics,phobert_emo_single:20260522,ord_external_f1,q1b_external_retention_v1,evaluation_only,vinai/phobert-base,01daacda68afe13d83023d16ec647239e344a1e6,01daacda68afe13d83023d16ec647239e344a1e6,vncorenlp_rdrsegmenter,locked-v1,phobert_emo_single:20260522,,,NOT_APPLICABLE,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
q1b_phobert_emo_single_20260523,q1b_phobert_emo_single_20260523,Q1b,phobert_emo_single,phobert_emo_single,phobert_emo_single,table3_checkpoint,phobert_base,20260523,,emotion,external_test,table3_checkpoint_training,model_weights;tokenizer;runtime_profile,phobert_emo_single,external_predictions;metrics,phobert_emo_single:20260523,ord_external_f1,q1b_external_retention_v1,evaluation_only,vinai/phobert-base,01daacda68afe13d83023d16ec647239e344a1e6,01daacda68afe13d83023d16ec647239e344a1e6,vncorenlp_rdrsegmenter,locked-v1,phobert_emo_single:20260523,,,NOT_APPLICABLE,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
q1b_phobert_multitask_8head_20260521,q1b_phobert_multitask_8head_20260521,Q1b,phobert_multitask_8head,phobert_multitask_8head,phobert_multitask_8head,table3_checkpoint,phobert_base,20260521,,polarity;emotion,external_test,table3_checkpoint_training,model_weights;tokenizer;runtime_profile,phobert_multitask_8head,external_predictions;metrics,phobert_multitask_8head:20260521,ord_external_f1,q1b_external_retention_v1,evaluation_only,vinai/phobert-base,01daacda68afe13d83023d16ec647239e344a1e6,01daacda68afe13d83023d16ec647239e344a1e6,vncorenlp_rdrsegmenter,locked-v1,phobert_multitask_8head:20260521,,,NOT_APPLICABLE,True,NOT_STARTED,PENDING_USER_APPROVAL,RESOLVED,RESOLVED
