sample_id,source_row,adjudication_required,disagreement_fields,adjudicated_fields_recorded
fresh_visobert_06767,236,0,,none
fresh_visobert_02787,237,1,polarity|emotion,"polarity,emotion"
fresh_visobert_01154,238,1,code_switching,code_switching
fresh_visobert_10684,239,1,polarity,polarity
fresh_visobert_04167,240,0,,none
fresh_visobert_06932,241,0,,sarcasm
fresh_visobert_09474,242,1,polarity|emotion,"polarity,emotion"
fresh_visobert_11476,243,1,polarity,polarity
fresh_visobert_10374,244,1,polarity,polarity
fresh_visobert_02970,245,0,,none
fresh_visobert_02466,246,0,,none
fresh_visobert_03149,247,0,,none
fresh_visobert_01478,248,0,,none
fresh_visobert_05438,249,1,code_switching,code_switching
fresh_visobert_07958,250,1,sarcasm,sarcasm
fresh_visobert_08446,251,1,idiom_figurative,idiom_figurative
fresh_visobert_02854,252,0,,none
fresh_visobert_09058,253,0,,none
fresh_visobert_06931,254,1,code_switching,code_switching
fresh_visobert_07128,255,1,implicit_sentiment|code_switching,"implicit_sentiment,code_switching"
fresh_visobert_02721,256,0,,none
fresh_visobert_05116,257,0,,none
fresh_visobert_01358,258,0,,none
fresh_visobert_04441,259,0,,none
fresh_visobert_03456,260,0,,none
fresh_visobert_09184,261,0,,none
fresh_visobert_05363,262,0,,none
fresh_visobert_04101,263,0,,none
fresh_visobert_10993,264,1,emotion,emotion
fresh_visobert_06708,265,0,,none
fresh_visobert_03876,266,0,,none
fresh_visobert_11536,267,1,emotion,emotion
fresh_visobert_11031,268,1,sarcasm,sarcasm
fresh_visobert_03756,269,0,,none
fresh_visobert_04436,270,1,mocking|emotion,"mocking,emotion"
fresh_visobert_02138,271,1,code_switching,code_switching
fresh_visobert_09237,272,0,,none
fresh_visobert_06501,273,0,,none
fresh_visobert_05831,274,1,implicit_sentiment,implicit_sentiment
fresh_visobert_01260,275,1,idiom_figurative|polarity,"idiom_figurative,polarity"
fresh_visobert_08611,276,0,,none
fresh_visobert_08163,277,0,,none
fresh_visobert_08981,278,1,code_switching,code_switching
fresh_visobert_10727,279,0,,none
fresh_visobert_08268,280,1,code_switching,code_switching
fresh_visobert_07303,281,0,,none
fresh_visobert_04119,282,0,,none
fresh_visobert_00681,283,0,,none
fresh_visobert_10587,284,0,,none
fresh_visobert_00247,285,1,polarity,polarity
fresh_visobert_07394,286,0,,none
fresh_visobert_10441,287,1,emotion,emotion
fresh_visobert_11008,288,0,,none
fresh_visobert_01605,289,1,polarity,polarity
fresh_visobert_07749,290,0,,none
fresh_visobert_07808,291,1,code_switching,code_switching
fresh_visobert_05920,292,0,,none
fresh_visobert_06066,293,1,emotion,emotion
fresh_visobert_09683,294,0,,none
fresh_visobert_04064,295,1,emotion,emotion
fresh_visobert_11826,296,1,polarity,polarity
fresh_visobert_00586,297,0,,none
fresh_visobert_09955,298,0,,sarcasm
fresh_visobert_03531,299,0,,none
fresh_visobert_05131,300,1,emotion,emotion
fresh_visobert_09301,301,0,,none
fresh_visobert_03521,302,1,mocking|emotion,"mocking,emotion"
fresh_visobert_00216,303,0,,none
fresh_visobert_09976,304,0,,none
fresh_visobert_08802,305,0,,none
fresh_visobert_03270,306,1,idiom_figurative|mocking|emotion,"idiom_figurative,mocking,emotion"
fresh_visobert_06890,307,0,,none
fresh_visobert_09079,308,1,emotion,emotion
fresh_visobert_09583,309,1,emotion,emotion
fresh_visobert_00282,310,0,,none
fresh_visobert_08897,311,1,mocking|emotion,"mocking,emotion"
fresh_visobert_09138,312,0,,none
fresh_visobert_08686,313,0,,none
fresh_visobert_00578,314,1,mocking|emotion,"mocking,emotion"
fresh_visobert_11415,315,0,,none
fresh_visobert_01856,316,0,,none
fresh_visobert_04220,317,1,polarity|emotion,"polarity,emotion"
fresh_visobert_04202,318,0,,none
fresh_visobert_06635,319,0,,none
fresh_visobert_10142,320,0,,none
fresh_visobert_01971,321,0,,none
fresh_visobert_05411,322,0,,none
fresh_visobert_02574,323,0,,none
fresh_visobert_07211,324,0,,none
fresh_visobert_04462,325,0,,none
fresh_visobert_04332,326,0,,none
fresh_visobert_01627,327,0,,none
fresh_visobert_05537,328,1,mocking|emotion,"mocking,emotion"
fresh_visobert_01491,329,0,,none
fresh_visobert_11429,330,0,,none
fresh_visobert_04540,331,0,,none
fresh_visobert_06199,332,0,,none
fresh_visobert_01511,333,0,,none
fresh_visobert_01446,334,0,,none
fresh_visobert_00718,335,0,,none
fresh_visobert_11896,336,0,,none
fresh_visobert_04481,337,0,,none
fresh_visobert_10706,338,1,sarcasm,sarcasm
fresh_visobert_10054,339,0,,none
fresh_visobert_09567,340,0,,none
fresh_visobert_07115,341,0,,none
fresh_visobert_01401,342,1,code_switching|emotion,"code_switching,emotion"
fresh_visobert_07499,343,0,,none
fresh_visobert_09603,344,0,,none
fresh_visobert_00759,345,0,,none
fresh_visobert_07358,346,1,emotion,emotion
fresh_visobert_03746,347,0,,none
fresh_visobert_09653,348,0,,none
fresh_visobert_03400,349,0,,none
fresh_visobert_00445,350,0,,none
fresh_visobert_08984,351,0,,none
fresh_visobert_01151,352,1,mocking|emotion,"mocking,emotion"
fresh_visobert_07581,353,1,polarity|emotion,"polarity,emotion"
fresh_visobert_10834,354,1,code_switching,code_switching
fresh_visobert_01266,355,0,,none
fresh_visobert_00946,356,0,,none
fresh_visobert_02928,357,1,idiom_figurative|emotion,"idiom_figurative,emotion"
fresh_visobert_00677,358,0,,none
fresh_visobert_00408,359,0,,none
fresh_visobert_02014,360,1,mocking|emotion,"mocking,emotion"
fresh_visobert_11665,361,0,,none
fresh_visobert_11697,362,0,,none
fresh_visobert_01256,363,1,mocking|emotion,"mocking,emotion"
fresh_visobert_05468,364,0,,none
fresh_visobert_01765,365,0,,none
fresh_visobert_06571,366,0,,none
fresh_visobert_09947,367,0,,none
fresh_visobert_06237,368,0,,none
fresh_visobert_10748,369,0,,none
fresh_visobert_09083,370,0,,none
fresh_visobert_10852,371,1,emotion,emotion
fresh_visobert_05566,372,1,mocking,mocking
fresh_visobert_01991,373,1,emotion,emotion
fresh_visobert_11828,374,0,,none
fresh_visobert_11043,375,0,,none
fresh_visobert_06797,376,0,,none
fresh_visobert_10269,377,0,,none
fresh_visobert_09617,378,1,code_switching|mocking|emotion,"code_switching,mocking,emotion"
fresh_visobert_09872,379,1,emotion,emotion
fresh_visobert_11356,380,1,mocking|emotion,"mocking,emotion"
fresh_visobert_07732,381,0,,none
fresh_visobert_10948,382,1,mocking|emotion,"mocking,emotion"
fresh_visobert_01198,383,1,emotion,emotion
fresh_visobert_06301,384,0,,none
fresh_visobert_00006,385,0,,none
fresh_visobert_10244,386,0,,none
fresh_visobert_02484,387,0,,none
fresh_visobert_03455,388,1,emotion,emotion
fresh_visobert_01121,389,0,,none
fresh_visobert_10220,390,0,,none
fresh_visobert_11065,391,0,,none
fresh_visobert_01294,392,0,,none
fresh_visobert_11521,393,0,,none
fresh_visobert_09283,394,0,,none
fresh_visobert_04504,395,0,,none
fresh_visobert_02174,396,0,,none
fresh_visobert_02064,397,0,,none
fresh_visobert_08828,398,0,,none
fresh_visobert_01442,399,1,emotion,emotion
fresh_visobert_06772,400,0,,none
fresh_visobert_11549,401,0,,none
fresh_visobert_02105,402,0,,none
fresh_visobert_06726,403,1,emotion,emotion
fresh_visobert_11303,404,0,,none
fresh_visobert_09952,405,0,,none
fresh_visobert_08276,406,0,,none
fresh_visobert_06587,407,0,,none
fresh_visobert_02807,408,0,,none
fresh_visobert_10388,409,0,,none
fresh_visobert_11984,410,1,emotion,emotion
fresh_visobert_03703,411,0,,none
fresh_visobert_00927,412,0,,none
fresh_visobert_03371,413,0,,none
fresh_visobert_07568,414,1,emotion,emotion
fresh_visobert_07982,415,0,,none
fresh_visobert_10650,416,1,emotion,emotion
fresh_visobert_01592,417,1,polarity,polarity
fresh_visobert_04103,418,0,,none
fresh_visobert_06977,419,0,,none
fresh_visobert_00752,420,0,,none
fresh_visobert_00768,421,0,,none
fresh_visobert_10300,422,0,,none
fresh_visobert_09491,423,0,,none
fresh_visobert_00825,424,0,,none
fresh_visobert_06216,425,0,,none
fresh_visobert_02234,426,0,,none
fresh_visobert_02050,427,0,,none
fresh_visobert_02539,428,0,,none
fresh_visobert_06935,429,0,,none
fresh_visobert_02943,430,1,emotion,emotion
fresh_visobert_02205,431,1,mocking,mocking
fresh_visobert_04549,432,0,,none
fresh_visobert_09446,433,0,,none
fresh_visobert_03777,434,0,,none
fresh_visobert_09986,435,1,mocking|emotion,"mocking,emotion"
fresh_visobert_01211,436,0,,none
fresh_visobert_07872,437,0,,none
fresh_visobert_03831,438,0,,none
fresh_visobert_07345,439,0,,none
fresh_visobert_06386,440,0,,none
fresh_visobert_09443,441,1,polarity,polarity
fresh_visobert_04128,442,0,,none
fresh_visobert_07673,443,0,,none
fresh_visobert_07841,444,0,,none
fresh_visobert_04825,445,1,mocking|emotion,"mocking,emotion"
fresh_visobert_11977,446,0,,none
fresh_visobert_06683,447,0,,none
fresh_visobert_05113,448,0,,none
fresh_visobert_08974,449,0,,none
fresh_visobert_07133,450,1,implicit_sentiment,implicit_sentiment
fresh_visobert_03822,451,1,mocking|emotion,"mocking,emotion"
fresh_visobert_06896,452,1,implicit_sentiment,implicit_sentiment
fresh_visobert_02661,453,0,,none
fresh_visobert_05502,454,0,,none
fresh_visobert_06937,455,0,,none
fresh_visobert_03966,456,0,,none
fresh_visobert_02492,457,0,,none
fresh_visobert_00002,458,1,idiom_figurative,idiom_figurative
fresh_visobert_10860,459,1,emotion,emotion
fresh_visobert_11857,460,1,emotion,emotion
fresh_visobert_08489,461,1,emotion,emotion
fresh_visobert_05288,462,0,,none
fresh_visobert_09672,463,1,mocking,mocking
fresh_visobert_03182,464,1,mocking|emotion,"mocking,emotion"
fresh_visobert_04467,465,1,code_switching,code_switching
fresh_visobert_05814,466,0,,none
fresh_visobert_05755,467,0,,none
fresh_visobert_02067,468,0,,none
fresh_visobert_08326,469,0,,none
fresh_visobert_09865,470,0,,none
fresh_visobert_04627,471,0,,none
fresh_visobert_06716,472,1,idiom_figurative|polarity|emotion,"idiom_figurative,polarity,emotion"
fresh_visobert_11184,473,1,code_switching,code_switching
fresh_visobert_06522,474,0,,none
fresh_visobert_06344,475,1,implicit_sentiment,implicit_sentiment
fresh_visobert_08999,476,0,,none
fresh_visobert_01199,477,0,,none
fresh_visobert_08673,478,0,,none
fresh_visobert_07736,479,1,emotion,emotion
fresh_visobert_08943,480,0,,none
fresh_visobert_10646,481,0,,none
fresh_visobert_01364,482,0,,none
fresh_visobert_06116,483,0,,none
fresh_visobert_07355,484,0,,none
fresh_visobert_02198,485,0,,none
fresh_visobert_05513,486,1,code_switching,code_switching
fresh_visobert_11791,487,0,,none
fresh_visobert_11708,488,0,,none
fresh_visobert_08450,489,0,,none
fresh_visobert_02429,490,1,idiom_figurative,idiom_figurative
fresh_visobert_01471,491,1,emotion,emotion
fresh_visobert_11403,492,0,,none
fresh_visobert_09339,493,0,,none
fresh_visobert_03491,494,1,mocking,mocking
fresh_visobert_08356,495,0,,none
fresh_visobert_05108,496,0,,none
fresh_visobert_05008,497,0,,none
fresh_visobert_05865,498,0,,none
fresh_visobert_00128,499,0,,none
fresh_visobert_10355,500,0,,none
fresh_visobert_09404,501,0,,none
fresh_visobert_11153,502,0,,none
fresh_visobert_08104,503,1,code_switching,code_switching
fresh_visobert_05111,504,1,idiom_figurative,idiom_figurative
fresh_visobert_10038,505,0,,none
fresh_visobert_02181,506,0,,none
fresh_visobert_04795,507,1,idiom_figurative,idiom_figurative
fresh_visobert_03940,508,1,mocking|emotion,"mocking,emotion"
fresh_visobert_01708,509,0,,none
fresh_visobert_08378,510,0,,none
fresh_visobert_01422,511,0,,none
fresh_visobert_04470,512,1,code_switching,code_switching
fresh_visobert_01526,513,1,emotion,emotion
fresh_visobert_11676,514,0,,none
fresh_visobert_06019,515,0,,sarcasm
fresh_visobert_08991,516,0,,none
fresh_visobert_11155,517,0,,none
fresh_visobert_03953,518,0,,none
fresh_visobert_00791,519,0,,none
fresh_visobert_07055,520,0,,none
fresh_visobert_08951,521,0,,none
fresh_visobert_05562,522,0,,none
fresh_visobert_07016,523,0,,none
fresh_visobert_03789,524,1,emotion,emotion
fresh_visobert_07269,525,1,mocking|emotion,"mocking,emotion"
fresh_visobert_01863,526,0,,none
fresh_visobert_01033,527,0,,none
fresh_visobert_06272,528,0,,none
fresh_visobert_09940,529,0,,none
fresh_visobert_01916,530,0,,none
fresh_visobert_07508,531,1,polarity,polarity
fresh_visobert_00618,532,0,,none
fresh_visobert_02844,533,1,mocking|emotion,"mocking,emotion"
fresh_visobert_10229,534,0,,none
fresh_visobert_11952,535,0,,none
fresh_visobert_03025,536,1,mocking|polarity,"mocking,polarity"
fresh_visobert_09187,537,0,,none
fresh_visobert_05658,538,1,emotion,emotion
fresh_visobert_02784,539,0,,none
fresh_visobert_04395,540,1,code_switching,code_switching
fresh_visobert_08678,541,1,implicit_sentiment|sarcasm,"implicit_sentiment,sarcasm"
fresh_visobert_10969,542,0,,none
fresh_visobert_02451,543,0,,none
fresh_visobert_02612,544,0,,none
fresh_visobert_01584,545,0,,none
fresh_visobert_10113,546,0,,none
fresh_visobert_10398,547,0,,none
fresh_visobert_07339,548,0,,none
fresh_visobert_07389,549,0,,none
fresh_visobert_04723,550,1,implicit_sentiment|mocking|emotion,"implicit_sentiment,mocking,emotion"
fresh_visobert_07059,551,0,,none
fresh_visobert_06223,552,1,idiom_figurative|code_switching,"idiom_figurative,code_switching"
fresh_visobert_11298,553,0,,none
fresh_visobert_08006,554,1,idiom_figurative,idiom_figurative
fresh_visobert_06732,555,1,emotion,emotion
fresh_visobert_11932,556,0,,none
fresh_visobert_00842,557,1,mocking|emotion,"mocking,emotion"
fresh_visobert_01470,558,1,polarity,polarity
fresh_visobert_09898,559,0,,none
fresh_visobert_09834,560,0,,none
fresh_visobert_11048,561,0,,none
fresh_visobert_07955,562,0,,none
fresh_visobert_08434,563,0,,none
fresh_visobert_09735,564,0,,none
fresh_visobert_06905,565,0,,none
fresh_visobert_05292,566,0,,none
fresh_visobert_01304,567,0,,none
fresh_visobert_02653,568,1,mocking,mocking
fresh_visobert_05198,569,0,,none
fresh_visobert_10856,570,0,,none
fresh_visobert_06406,571,0,,none
fresh_visobert_02532,572,0,,none
fresh_visobert_00645,573,0,,none
fresh_visobert_07910,574,0,,none
fresh_visobert_02580,575,0,,none
fresh_visobert_10243,576,0,,none
fresh_visobert_03916,577,0,,none
fresh_visobert_07426,578,1,polarity|emotion,"polarity,emotion"
fresh_visobert_08016,579,0,,none
fresh_visobert_02776,580,0,,none
fresh_visobert_11505,581,1,idiom_figurative,idiom_figurative
fresh_visobert_04291,582,0,,none
fresh_visobert_06426,583,1,emotion,emotion
fresh_visobert_04292,584,0,,none
fresh_visobert_05701,585,0,,none
fresh_visobert_06374,586,0,,sarcasm
fresh_visobert_01860,587,1,emotion,emotion
fresh_visobert_07802,588,0,,none
fresh_visobert_03835,589,0,,none
fresh_visobert_03639,590,0,,none
fresh_visobert_11086,591,0,,none
fresh_visobert_08136,592,1,idiom_figurative,idiom_figurative
fresh_visobert_04243,593,0,,none
fresh_visobert_02352,594,0,,none
fresh_visobert_07599,595,0,,none
fresh_visobert_03578,596,0,,none
fresh_visobert_03950,597,0,,none
fresh_visobert_01614,598,1,mocking|emotion,"mocking,emotion"
fresh_visobert_04712,599,0,,none
fresh_visobert_10888,600,1,polarity|emotion,"polarity,emotion"
fresh_visobert_05823,601,1,code_switching,code_switching
fresh_visobert_00849,602,1,emotion,emotion
fresh_visobert_05239,603,0,,none
fresh_visobert_08037,604,0,,none
fresh_visobert_01298,605,0,,none
fresh_visobert_01185,606,0,,none
fresh_visobert_03669,607,0,,none
fresh_visobert_04763,608,1,sarcasm|mocking,"sarcasm,mocking"
fresh_visobert_01681,609,0,,none
fresh_visobert_03245,610,0,,none
fresh_visobert_08959,611,1,implicit_sentiment|idiom_figurative,"implicit_sentiment,idiom_figurative"
fresh_visobert_02941,612,1,mocking|emotion,"mocking,emotion"
fresh_visobert_02280,613,0,,none
fresh_visobert_11119,614,0,,none
fresh_visobert_00900,615,0,,none
fresh_visobert_03487,616,0,,none
fresh_visobert_11336,617,1,mocking,mocking
fresh_visobert_08635,618,0,,none
fresh_visobert_10855,619,1,emotion,emotion
fresh_visobert_03988,620,0,,none
fresh_visobert_07887,621,0,,none
fresh_visobert_05764,622,1,emotion,emotion
fresh_visobert_03202,623,0,,none
fresh_visobert_06180,624,1,mocking|emotion,"mocking,emotion"
fresh_visobert_07596,625,0,,none
fresh_visobert_08626,626,1,polarity,polarity
fresh_visobert_08963,627,0,,none
fresh_visobert_02439,628,1,emotion,emotion
fresh_visobert_08198,629,1,idiom_figurative|polarity,"idiom_figurative,polarity"
fresh_visobert_06860,630,0,,none
fresh_visobert_01718,631,0,,none
fresh_visobert_03528,632,1,idiom_figurative,idiom_figurative
fresh_visobert_10636,633,0,,none
fresh_visobert_10746,634,0,,none
fresh_visobert_08644,635,0,,none
fresh_visobert_11967,636,0,,none
fresh_visobert_08144,637,0,,none
fresh_visobert_06277,638,0,,none
fresh_visobert_02228,639,0,,none
fresh_visobert_07522,640,0,,none
fresh_visobert_05509,641,0,,none
fresh_visobert_00778,642,0,,none
fresh_visobert_02722,643,1,implicit_sentiment|emotion,"implicit_sentiment,emotion"
fresh_visobert_00188,644,0,,none
fresh_visobert_04894,645,0,,none
fresh_visobert_03057,646,0,,none
fresh_visobert_07714,647,1,emotion,emotion
fresh_visobert_01858,648,0,,none
fresh_visobert_11426,649,0,,none
fresh_visobert_10084,650,0,,none
fresh_visobert_03168,651,0,,none
fresh_visobert_02860,652,1,code_switching,code_switching
