id,comment,label
train_010461,sao hàng mua trên tiki lại khác a vs hàng m đang dùng mua trong siêu thị. có fai hàng rỡn ko v,negative
train_013928," Chất lượng sản phẩm tuyệt vời
Mua quen của shop r. Hàng chuẩn khỏi bàn. Giao hàng nhanh nữa 😍😍",positive
train_014510,Dùng đc 2 ngày bị hỏng sửa mất gần trăm nghìn 😢,negative
train_009385,Đóng gói rất xấu ,negative
train_000100, Chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn giao hàng siu nhanh chỉ có 1 điểm trừ duy nhất là đậu phộng không được cay cho lắm.,positive
train_006072, Đóng gói sản phẩm rất kém. Ung ho nhiều don. Giao bịch thu 2 Rạch . K 1cau xl. Thai do qua kem. Kêu bô thường roi chan kh. Vây ly do la j. Lo mua ung ho roi Nen cho 1s . Qua xung dang. Minh đạt nhug đon nay truoc khi b vo noi xâu minh,negative
train_010792,Giao nhầm hàng. Mặc dù đã viết note lại dặn rất cẩn thận mà shop cũng ko hồi âm tư vấn cho khách,neutral
train_012487,Chất liệu tệ vải có vẻ không được tốt cho lắm. Dáng cũng ko đẹp. Nói chung là không ưng ý,neutral
train_001082,Giao hàng kh đúng màu. Mặc dù đã chú thích.  ,neutral
train_008898,Cài đặt và sử dụng rất dễ dàng,positive
train_010351,Sp siêu xih lun shop ơi,positive
train_008429,Dây bị lỗi bog tróc Chất lượng sản phẩm kém,negative
train_011127,Nho hạt to như hình in trên hộp ăn rất ngon. Đóng gói sản phẩm cẩn thận. ,positive
train_009839,"Mau ma va mau sac y hinh,,,binh thuong minh mang size 35. Cho tat ca cac loai giay dep deu vua khit hoac hoi chat nhung 2 doi ni cung size 35 nhung hoi rong khoang 1 size,,,nhung ko sao ,,co the vi phom giay ni no rong voi lai chat lieu vai  no mong va min nen  hoi rong,,,like it😘😍😊


 ",positive
train_003007,Hàng mới nhận mở ra xem thì trầy xước hết rồi shop ơi. Cái này giống hàng trưng bày hay sao á. Vali mới mà trầy hết trơn à. ,negative
train_008585, Đóng gói sản phẩm rất kém chỉ bọc giấy chuẩn bị hàng quá lâu,neutral
train_004719, Chất lượng sản phẩm tuyệt vời . Rất đáng tiền mua,positive
train_009282,Màu đẹp mà giá lại ok nữa ;) rất thích ,positive
train_003694,Son mau đẹp,positive
train_005670,Chất lượng giấy tốt in màu đẹp phần trình bày cũng rõ ràng giải thích dễ hiểu có cả phần bài tập ứng dụng tuy nhiên phần chữ tiếng Việt rất nhiều và mật độ chữ dày đặc thật dễ bị hoa mắt mà -_-,neutral
train_013427,Chất lượng bình thường vải ko đẹp lắm,neutral
train_000213,Sản phẩm đẹp. Đóng gói chắc chắn. Nhưng k có pin dự phòng.,positive
train_015907,Mua 3 mà giao 2,negative
train_000413,Ok. Giầy đẹp như hình. tks,positive
train_007083,Son đẹp check code ok ,positive
train_003203, Thời gian giao hàng rất chậm Shop phục vụ rất kém Đóng gói sản phẩm rất kém Chất lượng sản phẩm rất kém. Đặt hàng màu bạc mà lúc nhận được lại là màu vàng chát hỏi lại shop thì lại không thấy phản hồi gì cả gọi điện cũng không nghe. Rất thất vọng về sản phẩm cũng như thái độ phục vụ của shop,negative
train_013009, Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời,positive
train_006891, Đóng gói sản phẩm rất đẹp và chắc chắn. Sản phẩm không giống hình shop đăng. ,negative
train_000905,Bên shop thông báo cho mình hết phấn gấu xong chuyển sang phấn vịt sau shop cũng thông báo hêt phấn vịt chuyển sang phấn của 3ce. Chất lượng phấn không tốt lắm nói kiềm dầu nhưng hầu như kiềm dầu chỉ được tầm 30p là thấy da mặt đầy dầu. Lỗ của hộp phấn bên trong quá bé nên lượng phấn lấy ra ko nhiều rất mất thời gian. phải dùng cọ phấn phủ.,neutral
train_012723, Chất lượng sản phẩm rất rất rất Kém  Rất không đáng tiền. Khăn aden mà giặt rồi mà vẫn cứng đơ rát xì xì nhăn nhúm gập 40 cái mất nửa tiếng. Mua 40 cái mà bỏ ko dùng đc cái nào. Lau cho con thì đỏ cả da. Lsau ko bao h dám mua đồ của shop,negative
train_006877,Mua 20 miếng mask nhiều loại khác nhau nhưng không bị gói nhầm hàng như những shop khác. Làm việc có tâm ạ. Đã mua nhiều lần và lần nào cũng ưng ý,neutral
train_012388,Ốp đẹp lắm ạ cơ mà bị nhầm của e 1 hình ,positive
train_006714," Thời gian giao hàng rất nhanh
Chất lượng sản phẩm Ok!
Chủ shop nhiệt tình, thân thiện!
Sẽ ủng hộ shop tiếp!",positive
train_001704,"Giao hàng nhanh, đặt hàng sau 2 hôm là tới nơi rất ưng cách phục vụ nhanh chóng của shop
Chất lượng sản phẩm chưa dùng nên chưa biết",positive
train_002096,Mặt tiếp xúc với tóc ko chống dính tốt ko trơn. Máy nóng kém,negative
train_015587,Giầy đẹp lắm  shop vui vẻ tư vấn nhiệt tình  Rất đáng tiền Thời gian giao hàng rất nhanh Shop phục vụ rất tốt sẽ ủng hộ shop vì giá đẹp giầy đẹp 😍,positive
train_013855," Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.
Khá là ưng ☺️",positive
train_008959, Chất lượng sản phẩm tuyệt vời dây xanh đậm so với hình ảnh chụp,positive
train_005937,"Combo đúng nhiều luôn ._.
Đẹp lắm shop 💕",positive
train_010865, Shop phục vụ rất tốt Rất đáng tiền Rất đáng tiền Đóng gói sản phẩm rất đẹp và chắc chắn,positive
train_015553,Rất tệ máy chạy không nổi yếu xìu xài không ngon,negative
train_006965,Shop giao hàng nhanh đóng gói đẹp hàng thì cực cute lun. Rất đáng tiền,positive
train_011639,Sp tốt hàng vận chuyển hộp bị móp :),neutral
train_014663,"

Sản phẩm sử dụng được 1 ngày là khác liền, sữa về rất ổn shop à, khi nào dùng hết sẽ tiếp tục đặt hàng của shop 😘

Shop tư vấn rất tận tình, mình rất thik.

 Sẽ tiếp tục ủng hộ shop dài dài.
 
",positive
train_011307,Shop bán hàng k có tâm. Lưỡi dao gỉ vẫn giao cho khách.,negative
train_008163,bỉm chật bé nhà mình 7kg đã thấy chật rồi ạ ko dùng đc cho bé 12kg nhé,neutral
train_009693,Sp k còn mới đã bị gỡ miếng giấy dính với tấm nhựa,negative
train_013960,mình mua hồi tháng 6 vừa rồi đang sạc iphone được 30% thì không sạc được nữa. Mình cần hỗ trợ về bảo hành.,negative
train_013166,Nhầm sản  phẩm,negative
train_009703, Chất lượng sản phẩm rất kém  vỏ son méo ? son thì lỗi đầu son như dùng rồi  chất son loãng như nước  k đặc . để 30p trên môi ko khô  quệt 1 phát là bay màu. ,negative
train_000916,Quá dỏm như nước  xài mà thấy da tay vẫn khô không có dưỡng ẩm!,negative
train_001284,Sản phẩm đáng yêu...shop còn tặng quà khi mua số lượng nhiều nữa... ,positive
train_010353,mỏng- ko biết điu con đi xa nó có bục ko,positive
train_015853," Chất lượng sản phẩm tuyệt vời Thời gian giao hàng rất nhanh
Bột thơm mịn ngon. Mong là giảm cân như quảng cáo",positive
train_008035,Ko ổn lắm,negative
train_013899,Tặng đồ xài ko dc,neutral
train_011640, Thời gian giao hàng rất nhanh gói quà hơi sơ xài nha shop :((( nhưng sản phẩm thì ok ,positive
train_005824,hàng quá kém,negative
train_009551,Nhan san pham khong dung voi mo ta,negative
train_013172,Shop mall mà làm ăn tào lao ghi lốc 6 chai mà khi giao hàng thì giao 6 chai rời,negative
train_001771, Chất lượng sản phẩm tuyệt vời bánh rất ngonmà cái hộp đóng gói nhận nhìn ko cảm tình xíu nào luôn á,positive
train_010626," Đóng gói sản phẩm rất đẹp và chắc chắn
Mình k thấy tác dụng lắm sau 2 tuần sử dụng ",neutral
train_007234, Chất lượng sản phẩm tuyệt vời. Máy dùng thích lắm.  Shop phục vụ rất tốt. Đáng tiền. Cảm ơn và ủng hộ shop,positive
train_007019, Thời gian giao hàng rất nhanh sáng đặt trưa giao. ,positive
train_014254,"Giay ok lam cac ban 
",positive
train_015723,Nhìn chung thì tạm được thôi mình mua 4 cái nhưng trong đó có 1 cái ko lên đèn nhờ shop nghiên cứu lại,positive
train_003079,Túi nhỏ không vừa kích cỡ thảm. Mặc dù đã cuộn chặt nhưng cài dây kéo rất khó kéo vào căng đến nỗi rạn chỉ may túi luôn,neutral
train_000072,Đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tốt,positive
train_007800,MÌnh không thích cuốn này lắm nó cứ nhàm chán kiểu gì ý cứ như rất gượng ép nam chính như kiểu hời hợt tình yêu này cứ loằng ngoằng luẩn quẩn dễ đến dễ hiểu làm vô cớ dễ giận nhau các tình tiết không chặt chẽ không thuyết phục cách viết rất non tay. Nói thẳng ra là nhảm nhí tệ nhất trong những cuốn của DLVT mà mình đã đọc. Cái tựa động phòng hoa chúc cách vách nó cứ kiểu gì ý. Được cái bìa khá đẹp và sách mỏng rất gọn. Nhưng giá cũng hơi chát.,negative
train_001944," Chất lượng sản phẩm tuyệt vời
Trên cả tuyệt vời",positive
train_011529,Sản phẩm rất tốt giá cả hợp lí.Sạc đầy đt 3300mah đc 8 lần .thực sự rất hài lòng.  shop tư vấn và giải đáp rất nhiệt tình. Cho 10sao luôn😁,positive
train_016075,Ấm thi bị hư k vô điên gửi đổi thì bất mình chiệu phí khăn thì chắc liệu loại 2 giao hang chậm,negative
train_015141,Giày rất đẹp nhìn rất xịn hihi,positive
train_014504," Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt
Xin lỗi shop vì lúc đầu k đọc kĩ. Sản phẩm rất đẹp với giá tiền nha mọi người",positive
train_013095,Shop giao hàng cực nhanh luôn gói hàng cẩn thận nữa !! Chất lượng giày thì đẹp mà dây giày hơi dài thôi ạ ❤ Lần sau sẽ mua ủng hộ shop tiếp 😍,positive
train_014555, Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh. Chất lượng chờ time,positive
train_003861,Giao hàng cực nhanh!!! ,positive
train_007844,chuẩn như hình  ước gì có thêm box vans thì tốt,neutral
train_013304,Máy bị lỏng quá  mua 2 cái chán quá,negative
train_003350, Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Giao hàng nhanh nhiệt tình.,positive
train_001311, Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn! Ngon nhé shop!,positive
train_000937,Hợp đựng đồng hồ không giống như clip. Sao nó lại ra ten v shop ???,positive
train_012496,Đẹp mà rẻ. Thích dễ sợ ^^,positive
train_001735,Giao hàng không đúng mẫu ,negative
train_010095," Chất lượng sản phẩm tuyệt vời. Order hôm trước hôm
Sau nhận hàng",positive
train_005500,Shop gửi hàng nhanh dép đẹp. Rất hài lòng,positive
train_009332,Dịch giả không có tâm hoặc quá kém dịch như Google Dịch.,negative
train_000766,Giá tốt sản phẩm chính hãng.,positive
train_002316,Tôi copy hoặc move dữ liệu usb không được nhanh như tốc độ quảng cáo. Tôi đã thử nhiều loại file nhiều máy tính hệ điều hành (cả windows và Linux) nhưng đều chậm. Có lẽ tại usb.,neutral
train_000467,Giày rất đẹp mềm dễ đi.  Đóng gói cẩn thận ,positive
train_005099,Shop phục vụ kémNhân viên giao hàng ko cho kiểm tra máy,negative
train_009913, Chất lượng sản phẩm rất kém kim giây  liên tục bị kẹtluôn trễ giờ rất không đáng tiền,negative
train_010348,Son max đẹp đúng màu mk thích. Thanks shop😙,positive
train_011648,Shop đăng bán mẫu mới nhưng lại gửi mẫu cũ ,positive
train_009613,trông hàng mã quá tóm lại không nên dùng,negative
train_008339,Chất dsepj  giá hợp lý  ship nhanh chóng,positive
train_013935, Chất lượng sản phẩm tuyệt vời. Truyện hay.  Rất đáng tiền. Có cái ship cao quá ,positive
train_006833,Nhjn dep lam,positive
train_014728,giây may sáu quá lôi may đường chỉ tê quá,negative
train_005596,Mua hàng thì giao giày hư .trả hàng thì không thiện chí nhận lại .đăng lên shoppe thì không mua lại kêu tốn phí ship .vây tui mua bán lại mà giao giày như vậy bán cho ai . Đóng gói sản phẩm rất kém Shop phục vụ rất kém,negative
train_000491,Ốp bị xước nhiều hơi cũ. Nhưng dù s sp đẹp 👍🏻 Rất đáng tiền,positive
train_009506,"Cùng hãng LinkCard mà bộ kia mình mua mềm hơn bộ này vải cứng nóng. Muốn đổi trả thì shop vòng vo 1 ngày ko đưa ra giải pháp nói đấy là do khách cảm nhận cá nhân??!? 
 Ko trả đc thì nói thẳng chứ bạn :) Cách giải quyết khiếu nại làm mình hơi bị buồn và khó chịu :) Chất lượng sản phẩm kém",negative
train_008640," Chất lượng sản phẩm rất kém.  Rất không đáng tiền. 
Kính không có keo toàn bộ mà chỉ có keo ở viền màu đen khiến màn hình trở nên lem nhem. Các bạn nên chọn loại khác nhé. ",negative
train_014417,Sạc cho máy oppo 2 tiếng mới đk có 3%. Khi sạc hết pin mà sạc cả đêm cũng k đầy Chất lượng sản phẩm rất kém ,negative
train_004616,Giá tốt,positive
train_009558,Hài lòng.. giống hình,positive
train_004799,Chất liệu sản phẩm là vải xô chứ ko phải cotton lót nỉ như trong giới thiệu. Không hài lòng về chất lượng,negative
train_013010,Ăn ngon 😀😀😀,positive
train_010678,Phục vụ tận tình giáo hàng nhanh đóng gói kĩ.,positive
train_012252,M mua 2 chai đều bị cũ có phải hết date nên giá rẻ ko shop? Hàng tiêu dùng thì ghi HSD chứ có ghi NSX như đồ ăn đâu mà đáy chai ghi 2018.01.04 .  Đóng gói sản phẩm ok vì dán băng dính chống bung nắp.,neutral
train_001429,Ổn so vs mức giá,positive
train_004259, Đóng gói sản phẩm rất đẹp và chắc chắn.  Chất lượng sản phẩm tuyệt vời. Cảm thấy hài lòng khi nhận sản phẩm. Nhận được hàng nhanh. Sẽ tiếp tục mua ủng hộ shop dài dài,positive
train_008626, Chất lượng sản phẩm tuyệt vời. Dép rất  đẹp đóng gói cẩn thận. Sẽ ủng hộ  shop dài dài. ,positive
train_003522,Giao hàng nhanh.đóng gói cẩn thận.hàng xài tốt,positive
train_003791, Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh. Giày êm. Siêu nhẹ. Chị chủ nc dễ thương 😄,positive
train_010344,Mua xong về hối hận loa nghe nhỏ quá. Muốn đổi trả thì ntn vậy?,negative
train_014962,"""camera nhìn như mắt cua""",negative
train_009641,"=)) Tưởng đâu nội dung nói về hành trình đến thành công của EXO  tâm sự tuổi hồng :D Hướng dẫn fan cần gì , .... đằng này toàn câu hỏi vớ vẩn :v những cái đấy fan lâu năm hầu như ai chả biết , chi bằng lên google đầy câu hỏi mà mau vui :)) thất vọng thật sự 
Dc cái card chibi khá xinh =))",negative
train_012471,Dùng rất mát mềm da. Hiệu quả tức thì. Mình đặc biệt dùng gel này để chuốt lên lông mi và lông mày để làm dày và dài. Ngoài ra còn dùng để bôi lên vùng da bị khô nữa. Lần sau hết lại mua của shop tiếp :>,positive
train_004983,Bình dùng rất thích cảm ơn shop 😊,positive
train_005021, Chất lượng sản phẩm tuyệt vời. Đẹp lắm shop ơi không chê vào đâu được  Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền,positive
train_005626, Chất lượng sản phẩm tuyệt vời nhưng toàn chữ Trung Quốc. ,negative
train_003264,Hàng mua xong ăn rất dở so với mua bên ngoài( Circle K  hoặc các cửa hang khác) mọi người không nên mua.,negative
train_010503,Hàng tốt ok lắm ,positive
train_015443,son mềm thơm 💋💋 sẽ mua thêm hàng ở shopee sản phẩm chất lượng tốt ,positive
train_009988,Tạm thôi bàn phím dán keo tệ quá tệ. Thằng nhóc ngồi gỡ 1 lúc ko còn phím nào. Nản thiệt chớ.,negative
train_010741,Dùng rất tít. Mua về cho chồng chồng sướng quá hihi,positive
train_009043,Giao hàng thần tốc giá rẻ.Hài lòng! ,positive
train_013870,Kẹo chua hơnko giống loại mua ở st Thái Lan.,neutral
train_015682, sản phẩm ok. Giao hàng nhanh!!,positive
train_008398,:)) Gọi điện dặn dò shop các kiểu con đà điểu. Kết quả shop cho 10 cái như một. Phản hồi lại thì bảo ngẫu nhiên. Lần trước đặt 2 cái 18. Thì gửi 1 cái 18 1 cái 15m. Nói chung là phục vụ kém thái độ không tốt,negative
train_015613," Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn
Rat hai long",positive
train_004423, Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh. Thankyou shop,positive
train_000190,mình nhập Đúng tên và mật khẩu nhưng không vào được,neutral
train_009960, Đóng gói sản phẩm rất kémgiày bị móp méo hơi ố vàng ,neutral
train_008173,Chat luong ok. Đóng gói ok. Chỉ có đường chỉ chua chắc chắn lắm thoi. Nhug ok. 5*,positive
train_006125,Nhìn giống hàng chơi e bé,neutral
train_005412, Chất lượng sản phẩm tuyệt vời.Đẹp lắm luôn❤❤❤❤,positive
train_010692,"Sau khi cho kết nối Smart Tivi Android box smart phone iPad ...chất lượng sóng wifi yếu..thỉnh thoảng châp chờn.. (Thiết bị cách khoảng 3m cũng không nhận full sóng)Hiện nay Tôi đang sử dụng thiết bị cũ DLink DIR-605L 2angten phát sóng còn mạnh, ổn định hơn sản phẩm vừa mua TP-Link Archer C50  4angten.
Thiết bị phát wifi của nhà mạng Viettel và Dlink DIR-605L dù để xa thiết bị nhưng chất lượng sóng wifi vẫn tốt, không chập chờn.
Tôi không hài lòng chất lượng sản phẩm này.",neutral
train_012865,Được cái shop tư vấn tận tình,positive
train_003520,Màu sắc dễ thương wa chừng 5cai 60k vải cũng đẹp nữa!,neutral
train_015513,sản phẩm chạy được 30 phút thì ngưng k chạy nữa kim nhấc k lên nổi. nói chung là chất lượng kém lắm,negative
train_009329,"Giao hàng hơi lâu nhưng dat 2 dôi mà chỉ giao 1 đôi
Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời",positive
train_009241,Y nhu keo 502.keo 39k ma phi giao hang 30k. Dan giay k an .tuc muon dien thiet chu,negative
train_014838,mẫu đẹp y hình,positive
train_007407,Tôi chả hiểu  ý tưởng xây hầm ngầm vượt sông Hồng để giải quyết ùn tắc là sao nữa .,positive
train_015437,Dây bé tí dán k kỹ.,neutral
train_010876,Luc giao hang chang thay hop dau. Dua ch cai chai boc lop nhua la xog. Thay khong thich roi tinh tra hang ma ngi dang can nen de xai. Buc boi giong mua hang cho.,negative
train_008463,Đóng hàng chắc chắn giáo hàng sieu nhah giá rẻ sp đc,positive
train_007036,Mặt nạ đắp sướng lăm luôn ạ. Giao hàng siêu nhanh,positive
train_007030,"""con ip chạy android đây sao. Đẹp mà ngon quá.""",positive
train_011753,Hàng ok. Đóng gói chắc chắn. Thời gian giao hàng nhanh. Nhân viên giao hàng nhiệt tình,positive
train_010814,Bạn ấy giao hàng kém chất lượng bị khách nói thì quay ra sỉa sói khách. Vãi cả bán 500 cái ốp mà có 1 mình mình chê hàng kém chất lượng. Coi như tiền vứt cho chó nó gặm,negative
train_012091, Chất lượng sp phù hợp vs giá,positive
train_014915,Giá cả hợp lý sản phẩm tốt. Mềm viền lưng bụng cũng mềm nữa giao hàng nhanh,positive
train_015915,Chất lượng sản phẩm kém mình thấy son này không phải là son lì rất dễ trôi,negative
train_000336, Chất lượng sản phẩm rất kém. Hàng rất tệ tôi rất muốn trả hàng. Shopee có thể giúp ko?,negative
train_007743,chả hiểu sao mình lắp thẻ nhớ vào đt của mình thì máy nó chạy rất chậm cứ đụng vào cái gì trong thẻ nhớ là máy đơ luôn @@  Tháo thẻ nhớ ra thì máy chạy bình thường,negative
train_010424,Đặt 3 đôi thì 1 đôi màu đỏ bị phai hết màu đỏ ra chân. Rửa chân mãi mới sạch. Còn 1 đôi thì như bán cho người thương binh. Đặt số 39 mà gửi về 1 chân 38 1 chân 39. ,negative
train_008216,Sp đẹp thank Shop nhiều nhé. Chúc shop có nhiều khách hàng hơn,positive
train_014577,Bánh vừa thơm vừa ngon bên trong nhiều kem sẽ ủng hộ shop dài ạ 😍,positive
train_007220, Thời gian giao hàng rất chậm Chất lượng sản phẩm như loz,neutral
train_008522,Giày như trong hình❤,positive
train_014886,Giao hàng nhanh và gói hàng rất tốt nhen!,positive
train_005841,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh. Chỉ có điều là trc khi giao hàng mình có ib cho shop mà k thấy phản hồi lại. Còn về sản phẩm thì m rất ưng í.,positive
train_007112, Chất lượng sản phẩm rất kém. Dùng chưa đầy 2 ngày chế,negative
train_011835,Hàng quá tồi giao hàng gãy. Mất niềm tin,negative
train_007929,Sản phẩm rất tốt nhưng có 1 điểm trừ là sản phẩm để 1 xíu là hết mùi ko giữ đc lâu cho lắm nhưng họp vs giá tiền,neutral
train_003075,Shop giao thiếu hàng cho mình mình nhắn tin thì nói để kiểm tra lại sau đó thì im luôn không trả lời  ,negative
train_002983,"""Ôi that đẳng cấp, thật là đột phát về công nghệ nữa kìa.""",positive
train_008757,Hơn 200k cho một thỏi son cũng không phải rẻ so với dân văn phòng như mình nhưng Son Suri Pure Matte Lipstick E272 này làm mình thất vọng màu son thì đẹp nhưng môi khá khô hơn nữa là khi uống nước son dính lên vành ly rất khó chịu làm mình phải lau đi khi ăn uống thì trôi sạch lần trước cũng dùng một thỏi son thạch của Mira thấy rất ưng nhưng do hiện không còn sản phẩm đó nữa nên sử dụng qua loại này thì thấy tệ quá. Thấy mọi người khen nhiều mà sao với mình không ưng chút nào.,negative
train_005346,"Mùi thơm dễ chịu quá!  Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn
",positive
train_010580,sài được 2 tháng tốc độ còn 144 mbps. Bảo hành có dùng được trong trường hợp này không vậy,negative
train_007007,"""Alienware là trùm hỏng vặt, được cái mã, giá thì bình thường thậm chí còn rẻ hơn so với Asus và Msi . Với lại có điên mới mua con alien 18 này, con này đã hết sản xuất từ 2 năm trước và đang clear hàng , dùng cpu Haswell ko phải skylake như các đời còn lại.""",negative
train_014508,mua loa loyfun shop giao loa uoudio ko hiểu tại sao giao hàng nhanh chóng,negative
train_003633,Sản phẩm hk đúng như mong đợi. 😭😭😭😭,negative
